en,ar,section,type,source,confidence
**Tricyclic Antidepressants**,**مضادات الاكتئاب ثلاثية الحلقات**,medical_term,term,medical_terms_extended,high
**SSRIs (Selective Serotonin Reuptake Inhibitors)**,**مثبطات استرداد السيروتونين الانتقائية**,medical_term,term,medical_terms_extended,high
**SNRIs (Serotonin-Norepinephrine Reuptake Inhibitors)**,**مثبطات استرداد السيروتونين والنورادرينالين**,medical_term,term,medical_terms_extended,high
**MAO Inhibitors (Monoamine Oxidase Inhibitors)**,**مثبطات مونوأمين أوكسيداز**,medical_term,term,medical_terms_extended,high
**Antihypertensives**,**أدوية خافضة لضغط الدم**,medical_term,term,medical_terms_extended,high
**Diuretics**,**مدرات البول**,medical_term,term,medical_terms_extended,high
**Thiazide Diuretics**,**مدرات البول الثيازيدية**,medical_term,term,medical_terms_extended,high
**Loop Diuretics**,**مدرات البول العروية**,medical_term,term,medical_terms_extended,high
**Potassium-Sparing Diuretics**,**مدرات البول الحافظة للبوتاسيوم**,medical_term,term,medical_terms_extended,high
**ACE Inhibitors (Angiotensin-Converting Enzyme Inhibitors)**,**مثبطات الإنزيم المحول للأنجيوتنسين**,medical_term,term,medical_terms_extended,high
**Calcium Channel Blockers**,**حاصر قنوات الكالسيوم**,medical_term,term,medical_terms_extended,high
**Antibiotics**,**مضادات حيوية**,medical_term,term,medical_terms_extended,high
**Antihistamines**,**مضادات هيستامين**,medical_term,term,medical_terms_extended,high
**Expectorants**,**طاردات للبلغم**,medical_term,term,medical_terms_extended,high
**Decongestants**,**مزيلات الاحتقان**,medical_term,term,medical_terms_extended,high
**Proton Pump Inhibitors**,**مثبطات مضخة البروتون**,medical_term,term,medical_terms_extended,high
**Antioxidants**,**مضادات الأكسدة**,medical_term,term,medical_terms_extended,high
**Increased Mortality in Elderly Patients**,**زيادة معدل الوفيات لدى المرضى المسنين**,medical_term,term,medical_terms_extended,high
**Cerebrovascular Adverse Events**,**أحداث قلبية وعائية سلبية**,medical_term,term,medical_terms_extended,high
**Neuroleptic Malignant Syndrome (NMS)**,**متلازمة الخباث الأفيوني (NMS)**,medical_term,term,medical_terms_extended,high
**Tardive Dyskinesia**,**خلل الحركة المتأخر**,medical_term,term,medical_terms_extended,high
**Metabolic Changes**,**تغيرات استقلابية**,medical_term,term,medical_terms_extended,high
**Hyperglycemia / Diabetes Mellitus**,**فرط سكر الدم / مرض السكري**,medical_term,term,medical_terms_extended,high
**Dyslipidemia**,**اضطراب دهني**,medical_term,term,medical_terms_extended,high
**Body Weight Gain**,**زيادة الوزن**,medical_term,term,medical_terms_extended,high
**Orthostatic Hypotension**,**انخفاض ضغط الدم الوضعي**,medical_term,term,medical_terms_extended,high
**Leukopenia**,**نقص الكريات البيضاء**,medical_term,term,medical_terms_extended,high
**Neutropenia**,**نقص العدلات**,medical_term,term,medical_terms_extended,high
**Agranulocytosis**,**نقص الكريات المحببة**,medical_term,term,medical_terms_extended,high
**Seizure Threshold**,**عتبة الاختلاج**,medical_term,term,medical_terms_extended,high
**Cognitive and Motor Impairment**,**إعاقة معرفية وحركية**,medical_term,term,medical_terms_extended,high
**Body Temperature Regulation**,**تنظيم درجة حرارة الجسم**,medical_term,term,medical_terms_extended,high
**Dysphagia**,**صعوبة البلع**,medical_term,term,medical_terms_extended,high
**Esophageal Dysmotility**,**اضطراب حركية المريء**,medical_term,term,medical_terms_extended,high
**Aspiration Pneumonia**,**التهاب رئوي استشاقي**,medical_term,term,medical_terms_extended,high
**Alcoholics**,**مدمنو الكحول**,medical_term,term,medical_terms_extended,high
**Medication-Overuse Headache (MOH)**,**صداع ناجم عن إفراط في استخدام المسكنات**,medical_term,term,medical_terms_extended,high
**Drug Interactions**,**التداخلات الدوائية**,medical_term,term,medical_terms_extended,high
**MAO Inhibitors**,**مثبطات مونوأمين أوكسيداز**,medical_term,term,medical_terms_extended,high
**CNS Depressants**,**مثبطات الجهاز العصبي المركزي**,medical_term,term,medical_terms_extended,high
**Carbamazepine**,**كاربامازيبين**,medical_term,term,medical_terms_extended,high
**Cimetidine**,**سيميتيدين**,medical_term,term,medical_terms_extended,high
**Buprenorphine**,**بوبرينورفين**,medical_term,term,medical_terms_extended,high
**Nalbuphine**,**نالبوفين**,medical_term,term,medical_terms_extended,high
**Pentazocine**,**بنتازوسين**,medical_term,term,medical_terms_extended,high
**Mixed Agonist/Antagonists**,**ناظم/مضاد مختلط**,medical_term,term,medical_terms_extended,high
**Coumarin Derivatives (Warfarin)**,**مشتقات الكومارين (وارفارين)**,medical_term,term,medical_terms_extended,high
**Ketoconazole**,**كيتوكونازول**,medical_term,term,medical_terms_extended,high
**Erythromycin**,**إريثرومايسين**,medical_term,term,medical_terms_extended,high
**Bupropion**,**بوبروبيون**,medical_term,term,medical_terms_extended,high
**Mirtazapine**,**ميرتازابين**,medical_term,term,medical_terms_extended,high
**Tetrahydrocannabinol**,**تتراهيدروكانابينول**,medical_term,term,medical_terms_extended,high
**Naloxone**,**نالوكسون**,medical_term,term,medical_terms_extended,high
**Diazepam**,**ديازيبام**,medical_term,term,medical_terms_extended,high
**Activated Charcoal**,**الفحم المنشط**,medical_term,term,medical_terms_extended,high
**Gastric Lavage**,**غسل المعدة**,medical_term,term,medical_terms_extended,high
**Pediatric Use**,**استخدام للأطفال**,medical_term,term,medical_terms_extended,high
**Geriatric Use**,**استخدام للمسنين**,medical_term,term,medical_terms_extended,high
**Breast Milk**,**حليب الثدي**,medical_term,term,medical_terms_extended,high
**Teratogenicity**,**تسبب التشوهات الجنينية**,medical_term,term,medical_terms_extended,high
**Dosage and Administration**,**الجرعة وطريقة الاستعمال**,medical_term,term,medical_terms_extended,high
**Recommended Dose**,**الجرعة الموصى بها**,medical_term,term,medical_terms_extended,high
**Initial Dose**,**الجرعة الأولية**,medical_term,term,medical_terms_extended,high
**Maintenance Dose**,**الجرعة الصيانة**,medical_term,term,medical_terms_extended,high
**Maximum Daily Dose**,**الجرعة اليومية القصوى**,medical_term,term,medical_terms_extended,high
**Dosage Adjustment**,**تعديل الجرعة**,medical_term,term,medical_terms_extended,high
**Dosage Interval**,**فترة الجرعة**,medical_term,term,medical_terms_extended,high
**Missed Dose**,**جرعة منسية**,medical_term,term,medical_terms_extended,high
**Overdosage Management**,**إدارة فرط الجرعة**,medical_term,term,medical_terms_extended,high
**Carton Box**,**علبة كرتون**,medical_term,term,medical_terms_extended,high
**Storage Conditions**,**شروط الحفظ**,medical_term,term,medical_terms_extended,high
**Store at room temperature**,**يحفظ في درجة حرارة الغرفة**,medical_term,term,medical_terms_extended,high
**Store in a dry place**,**يحفظ في مكان جاف**,medical_term,term,medical_terms_extended,high
**Keep away from light**,**يحفظ بعيدًا عن الضوء**,medical_term,term,medical_terms_extended,high
**Keep away from humidity**,**يحفظ بعيدًا عن الرطوبة**,medical_term,term,medical_terms_extended,high
**Keep out of reach of children**,**يحفظ بعيدًا عن متناول الأطفال**,medical_term,sentence,medical_terms_extended,high
**Prescription Only Medicine**,**يصرف بموجب وصفة طبية**,medical_term,term,medical_terms_extended,high
**Do not interrupt treatment**,**لا تقاطع فترة العلاج**,medical_term,term,medical_terms_extended,high
**Council of Arab Health Ministers**,**مجلس وزراء الصحة العرب**,medical_term,term,medical_terms_extended,high
**Arab Pharmacists Association**,**اتحاد الصيدليين العرب**,medical_term,term,medical_terms_extended,high
**Tramadol Hydrochloride is a centrally acting synthetic analgesic compound**,**ترامادول هيدروكلوريد هو مسكن اصطناعي مركزي التأثير**,medical_term,sentence,mechanism_pk,high
"**Non-selective pure agonist at mu, delta, and kappa opioid receptors**",**ناظم غير انتقائي للمستقبلات الأفيونية ميو، دلتا، وكابا**,medical_term,sentence,mechanism_pk,high
**Inhibition of neuronal reuptake of noradrenaline (norepinephrine) and enhancement of serotonin release**,**تثبيط إعادة امتصاص نورادرينالين (نورإبينيفرين) وتعزيز إطلاق السيروتونين**,medical_term,sentence,mechanism_pk,high
**More than 90% of tramadol is absorbed after oral administration. The mean absolute bioavailability is approximately 70%**,**يمتص أكثر من ٩٠٪ من ترامادول بعد تناوله عن طريق الفم. المتوسط التوافر الحيوي المطلق حوالي ٧٠٪**,medical_term,sentence,mechanism_pk,high
**Plasma protein binding of about 20%**,**الارتباط ببروتينات البلازما حوالي ٢٠٪**,medical_term,sentence,mechanism_pk,high
**Passes the blood-brain and placental barriers**,**يعبر حاجز دم-دماغ وحاجز المشيمة**,medical_term,sentence,mechanism_pk,high
**Tramadol and its metabolites are almost completely excreted via the kidneys**,**يطرح ترامادول ومستقلباته تقريبًا بالكامل عن طريق الكلى**,medical_term,sentence,mechanism_pk,high
**Agomelatine is a melatonergic agonist (MT1 and MT2 receptors) and 5-HT2C antagonist**,**أجوميلاتين هو محفز للمستقبلات الميلاتونينية (MT1 و MT2) ومضاد للمستقبلات 5-HT2C**,medical_term,sentence,mechanism_pk,high
**Diclofenac Potassium is a potent inhibitor of prostaglandin biosynthesis**,**ديكلوفيناك بوتاسيوم هو مثبط قوي لتخليق البروستاغلاندين**,medical_term,sentence,mechanism_pk,high
**TRAMADOL HAMA PHARMA (Film-Coated Tablets) (Tramadol Hydrochloride 50 mg)**,**ترامادول هاما فارما (أقراص ملبسة بالفيلم) (ترامادول هيدروكلوريد ٥٠ ملغ)**,medical_term,sentence,leaflet_content_detailed,high
"**NODEMENT (Armodafinil 50 mg, 150 mg, 250 mg) (Tablets)**",**نوديمينت (أرمودافينيل ٥٠ ملغ، ١٥٠ ملغ، ٢٥٠ ملغ) (أقراص)**,medical_term,sentence,leaflet_content_detailed,high
**CLOZAPINE HAMA PHARMA (Tablets)**,**كلوزابين هاما فارما (أقراص)**,medical_term,term,leaflet_content_detailed,high
**FEM-RELIEVE (Film-Coated Tablets)**,**فيم-ريليف (أقراص ملبسة بالفيلم)**,medical_term,term,leaflet_content_detailed,high
**VITOREX (Pizotifen 0.5 mg) (Capsules)**,**فيتوركس (بيزوتيفين ٠.٥ ملغ) (كبسولات)**,medical_term,term,leaflet_content_detailed,high
**KETOTIFEN HAMA PHARMA (Ketotifen 1 mg as Hydrogen Fumarate) (Tablets)**,**كيتوتيفين هاما فارما (كيتوتيفين ١ ملغ على شكل فومارات هيدروجين) (أقراص)**,medical_term,sentence,leaflet_content_detailed,high
"**DILTIAZEM HAMA PHARMA (Diltiazem hydrochloride 60 mg, 90 mg, 120 mg, 180 mg) (Tablets)**",**ديلتيازيم هاما فارما (ديلتيازيم هيدروكلوريد ٦٠ ملغ، ٩٠ ملغ، ١٢٠ ملغ، ١٨٠ ملغ) (أقراص)**,medical_term,sentence,leaflet_content_detailed,high
**ANTI-TUSSIVE (Oxomemazine 1.65 mg + Paracetamol 33.3 mg + Sodium benzoate 33.3 mg + Guaifenesin 33.3 mg)**,**مضاد السعال (أوكسوميمازين ١.٦٥ ملغ + باراسيتامول ٣٣.٣ ملغ + بنزوات الصوديوم ٣٣.٣ ملغ + غوايفينيسين ٣٣.٣ ملغ)**,medical_term,sentence,leaflet_content_detailed,high
**FEDROLIDINE (Pseudoephedrine hydrochloride 60 mg + Triprolidine hydrochloride 2.5 mg) (Tablets)**,**فيدروليدين (سودوإيفيدرين هيدروكلوريد ٦٠ ملغ + تريبوليدين هيدروكلوريد ٢.٥ ملغ) (أقراص)**,medical_term,sentence,leaflet_content_detailed,high
**Composition: Each film-coated tablet contains Tramadol Hydrochloride 50 mg**,**التركيب: يحوي كل قرص ملبس بالفيلم على ترامادول هيدروكلوريد ٥٠ ملغ**,medical_term,sentence,leaflet_content_detailed,high
"**Excipients: Magnesium stearate, Microcrystalline cellulose, HPMC, Sodium starch glycolate, Pregelatinized starch, Corn starch, Polysorbate 80, Carnauba wax, Iron oxide yellow, Polyethylene glycol, Titanium dioxide, Lactose**",**السواغات: ستيرات المغنيسيوم، السليلوز البلوري المجهري، HPMC، نشاء الصوديوم غليكولات، نشاء مسبق التجلط، نشاء الذرة، بوليسوربات ٨٠، شمع كارناوبا، أكسيد الحديد الأصفر، بولي إيثيلين غليكول، ثاني أكسيد التيتانيوم، لاكتوز**,medical_term,sentence,leaflet_content_detailed,high
**Pharmacodynamics: Centrally acting synthetic analgesic compound**,**الديناميكا الدوائية: مركب مسكن اصطناعي مركزي التأثير**,medical_term,sentence,leaflet_content_detailed,high
**Passes blood-brain and placental barriers**,**يعبر حاجز دم-دماغ وحاجز المشيمة**,medical_term,term,leaflet_content_detailed,high
**Elimination: Almost completely excreted via kidneys**,**الإطراح: يتم طرحه تقريبًا بالكامل عن طريق الكلى**,medical_term,sentence,leaflet_content_detailed,high
**Indications: Treatment of moderate to severe pain**,**الاستطبابات: علاج الألم المتوسط إلى الشديد**,medical_term,sentence,leaflet_content_detailed,high
"**Contraindications: Hypersensitivity, Acute intoxication with CNS depressants, MAO inhibitors, Severe hepatic/renal/respiratory impairment, Epilepsy, Breastfeeding (long-term)**",**مضادات الاستطباب: فرط الحساسية، التسمم الحاد بمثبطات الجهاز العصبي المركزي، مثبطات مونوأمين أوكسيداز، قصور كبدي/كلوي/تنفسي شديد، صرع، الإرضاع (طويل الأمد)**,medical_term,sentence,leaflet_content_detailed,high
"**Warnings: Withdrawal symptoms, Drug dependence, Opioid-dependent patients, Convulsive disorders, Respiratory depression**",**التحذيرات: أعراض الانسحاب، الاعتمادية الدوائية، المرضى المعتمدون على الأفيونيات، اضطرابات اختلاجية، كبت التنفس**,medical_term,sentence,leaflet_content_detailed,high
"**Drug Interactions: MAO inhibitors, CNS depressants, Carbamazepine, Cimetidine, SSRIs, SNRIs, Tricyclic antidepressants, Coumarin derivatives (warfarin), Ketoconazole, Erythromycin**",**التداخلات الدوائية: مثبطات MAO، مثبطات الجهاز العصبي المركزي، كاربامازيبين، سيميتيدين، مثبطات استرداد السيروتونين الانتقائية (SSRIs)، مثبطات استرداد السيروتونين والنورادرينالين (SNRIs)، مضادات الاكتئاب ثلاثية الحلقات، مشتقات الكومارين (وارفارين)، كيتوكونازول، إريثرومايسين**,medical_term,sentence,leaflet_content_detailed,high
"**Serotonin syndrome (confusion, agitation, fever, sweating, ataxia, hyperreflexia, myoclonus, diarrhea)**",**متلازمة السيروتونين (ارتباك، هياج، حمى، تعرق، ترنح، فرط المنعكسات، رمع عضلي، إسهال)**,medical_term,sentence,leaflet_content_detailed,high
"**Adverse Reactions: Palpitation, tachycardia, hypotension, dizziness, headache, somnolence, nausea, vomiting, constipation, dry mouth, diarrhea, sweating, pruritus, rash, urticaria, fatigue**",**الآثار الجانبية: خفقان، تسارع القلب، انخفاض ضغط الدم، دوخة، صداع، نعاس، غثيان، قيء، إمساك، جفاف الفم، إسهال، تعرق، حكة، طفح جلدي، شرى، إرهاق**,medical_term,sentence,leaflet_content_detailed,high
"**Overdosage: Miosis, vomiting, cardiovascular collapse, sedation, coma, seizures, respiratory depression**",**فرط الجرعة: تضييق حدقة العين، قيء، وهط قلب وعائي، تهدئة، غيبوبة، اختلاجات، كبت التنفس**,medical_term,sentence,leaflet_content_detailed,high
"**Management of Overdosage: Maintain airway, cardiovascular function, naloxone for respiratory depression, diazepam for fits, activated charcoal/gastric lavage within 2 hours**",**إدارة فرط الجرعة: الحفاظ على مجرى الهواء، وظائف القلب والأوعية الدموية، نالوكسون لكبت التنفس، ديازيبام للاختلاجات، الفحم المنشط/غسل المعدة خلال ٢ ساعة**,medical_term,sentence,leaflet_content_detailed,high
"**Dosage: Adults & children >12 years: 50-100 mg 3-4 times daily (acute pain), 50-100 mg every 4-6 hours (chronic pain), max 400 mg/day**",**الجرعة: البالغون والأطفال >١٢ سنة: ٥٠-١٠٠ ملغ ٣-٤ مرات يوميًا (ألم حاد)، ٥٠-١٠٠ ملغ كل ٤-٦ ساعات (ألم مزمن)، حد أقصى ٤٠٠ ملغ/اليوم**,medical_term,sentence,leaflet_content_detailed,high
"**Renal Impairment: Increase dosage interval to 12 hours if creatinine clearance <30 ml/min, not recommended if <10 ml/min**",**قصور كلوي: زيادة فترة الجرعة إلى ١٢ ساعة إذا كانت تصفية الكرياتينين <٣٠ مل/دقيقة، غير موصى به إذا كانت <١٠ مل/دقيقة**,medical_term,sentence,leaflet_content_detailed,high
"**Hepatic Impairment: Divide dose or extend interval to 12 hours, contraindicated in severe impairment**",**قصور كبدي: قسم الجرعة أو اطلب الفترة إلى ١٢ ساعة، مضاد استطباب في القصور الشديد**,medical_term,sentence,leaflet_content_detailed,high
**Pediatric: Not recommended for children <12 years**,**الأطفال: غير موصى به للأطفال <١٢ سنة**,medical_term,sentence,leaflet_content_detailed,high
**Each film-coated tablet contains: Tramadol Hydrochloride 50 mg**,**يحوي كل قرص ملبس بالفيلم: ترامادول هيدروكلوريد ٥٠ ملغ**,medical_term,sentence,composition,high
**Each capsule contains: Pizotifen (as hydrogen maleate) 0.5 mg**,**يحوي كل كبسولة: بيزوتيفين (على شكل ماليات هيدروجين) ٠.٥ ملغ**,medical_term,sentence,composition,high
**Each tablet of Ketotifen Hama Pharma contains: 1 mg Ketotifen (as Hydrogen Fumarate)**,**يحوي كل قرص من كيتوتيفين حماة فارما: ١ ملغ كيتوتيفين (على شكل فومارات هيدروجين)**,medical_term,sentence,composition,high
**Composition: Paracetamol 500 mg + Diclofenac Potassium 50 mg**,**التركيب: باراسيتامول ٥٠٠ ملغ + ديكلوفيناك بوتاسيوم ٥٠ ملغ**,medical_term,sentence,composition,high
**Composition and Excipients: Each tablet contains 10 mg or 15 mg of aripiprazole**,**التركيب والسواغات: يحوي كل قرص على ١٠ ملغ أو ١٥ ملغ من أريبيبرازول**,medical_term,sentence,composition,high
**Anticoagulant**,**مضاد تخثر**,medical_term,term,updated_indications,high
**Reduction in the risk of stroke and systemic embolism in patients with non-valvular atrial fibrillation**,**تقليل خطر السكتة الدماغية والانسداد الجهازي لدى مرضى الرجفان الأذيني غير الصمامي**,medical_term,sentence,updated_indications,high
**Treatment of Deep Vein Thrombosis (DVT)**,**علاج خثار الوريد العميق**,medical_term,sentence,updated_indications,high
**Treatment of Pulmonary Embolism (PE)**,**علاج الانسداد الرئوي**,medical_term,term,updated_indications,high
**Reduction in the risk of recurrence of DVT and PE**,**تقليل خطر تكرر خثار الوريد العميق والانسداد الرئوي**,medical_term,sentence,updated_indications,high
**Prophylaxis of Deep Vein Thrombosis following Hip or Knee replacement surgery**,**الوقاية من خثار الوريد العميق بعد جراحة استبدال مفصل الورك أو الركبة**,medical_term,sentence,updated_indications,high
**Reduction of Risk of Major Cardiovascular Events in Chronic Coronary Artery Disease (CAD) or Peripheral Artery Disease (PAD)**,**تقليل خطر الأحداث القلبية الوعائية الكبرى في مرض الشريان التاجي المزمن أو مرض الشريان المحيطي**,medical_term,sentence,updated_indications,high
"**Prevention of ischemic events, myocardial infarction, stroke and cardiovascular death in patients with Acute Coronary Syndrome (ACS)**",**الوقاية من الأحداث الإفقارية، احتشاء عضلة القلب، السكتة الدماغية، والوفاة القلبية الوعائية لدى مرضى متلازمة الشريان التاجي الحادة**,medical_term,sentence,updated_indications,high
**Unstable angina (UA)**,**ذبحة غير مستقرة**,medical_term,term,updated_indications,high
**Non-ST elevation myocardial infarction (NSTEMI)**,**احتشاء عضلة القلب بدون ارتفاع القطعة ST**,medical_term,term,updated_indications,high
**ST-segment elevation acute myocardial infarction (STEMI)**,**احتشاء عضلة القلب مع ارتفاع القطعة ST**,medical_term,sentence,updated_indications,high
**Post-operative inflammation and pain**,**التهاب وألم ما بعد الجراحة**,medical_term,term,updated_indications,high
**Sprains**,**الالتواء**,medical_term,term,updated_indications,high
**Flare-up of osteoarthritis**,**تفاقم التهاب المفاصل التنكسية**,medical_term,term,updated_indications,high
**Acute attacks of gout**,**نوبات حادة من النقرس**,medical_term,term,updated_indications,high
**Non-articular rheumatism**,**الروماتيزم غير المفصلي**,medical_term,term,updated_indications,high
**Painful syndromes of the vertebral column**,**متلازمات مؤلمة في العمود الفقري**,medical_term,sentence,updated_indications,high
**Painful and/or inflammatory conditions in gynaecology**,**الحالات المؤلمة و/أو الالتهابية في طب النساء**,medical_term,sentence,updated_indications,high
**Primary dysmenorrhoea**,**عسر طمث أولي**,medical_term,term,updated_indications,high
**Adnexitis**,**التهاب الملحقات**,medical_term,term,updated_indications,high
**Pharyngotonsillitis**,**التهاب البلعوم واللوزتين**,medical_term,term,updated_indications,high
**Otitis**,**التهاب الأذن الوسطى**,medical_term,term,updated_indications,high
**Treatment of moderate to severe pain**,**علاج الألم المتوسط إلى الشديد**,medical_term,sentence,updated_indications,high
"**Anti-bacterial, Gingivitis**",**مضاد بكتيري، التهاب اللثة**,medical_term,term,updated_indications,high
**Antidiabetic**,**مضاد السكري**,medical_term,term,updated_indications,high
**Avoid concomitant use of Rivaroxaban with combined P-gp and strong CYP3A4 inhibitors**,**تجنب الاستخدام المتزامن لريفاروكسبان مع مثبطات P-gp القوية وCYP3A4**,medical_term,sentence,updated_interactions,high
**Avoid concomitant use of Rivaroxaban with drugs that are combined P-gp and strong CYP3A4 inducers**,**تجنب الاستخدام المتزامن لريفاروكسبان مع الأدوية التي هي مثبطات P-gp القوية ومحفزات CYP3A4**,medical_term,sentence,updated_interactions,high
**Avoid using omeprazole or esomeprazole with clopidogrel**,**تجنب استخدام أوميبرازول أو إيزوميبرازول مع كلوبيدوغريل**,medical_term,sentence,updated_interactions,high
**Omeprazole and esomeprazole significantly reduce the antiplatelet activity of clopidogrel**,**أوميبرازول وإيزوميبرازول يقللان بشكل كبير من النشاط المضاد للصفيحات لكلوبيدوغريل**,medical_term,sentence,updated_interactions,high
**CYP2C19 poor metabolizer status is associated with diminished antiplatelet response to clopidogrel**,**حالة الاستقلاب السيئة لـ CYP2C19 ترتبط باستجابة مضادة للصفيحات ضعيفة لكلوبيدوغريل**,medical_term,sentence,updated_interactions,high
"**Concomitant administration of enoxaparin, warfarin, aspirin, clopidogrel and chronic NSAID use may increase the risk of bleeding**",**الإعطاء المتزامن لإينوكسابارين، وارفارين، أسبرين، كلوبيدوغريل واستخدام مزمن لمضادات الالتهاب غير الستيرويدية قد يزيد خطر النزف**,medical_term,sentence,updated_interactions,high
**Care should be taken and the risk/benefit of treatment determined prior to administration**,**يجب توخي الحذر وتحديد المخاطر/فوائد العلاج قبل إعطاء الدواء**,medical_term,sentence,warnings,high
**Withdrawal symptoms: At therapeutic doses tramadol has the potential to cause withdrawal symptoms**,**أعراض الانسحاب: في الجرعات العلاجية، قد يسبب ترامادول أعراض انسحاب**,medical_term,sentence,warnings,high
**Drug dependence and abuse: Reports of these are rare**,**اعتمادية الدواء وسوء الاستخدام: التقارير عنها نادرة**,medical_term,sentence,warnings,high
**Increased mortality in elderly patients with dementia-related psychosis**,**زيادة معدل الوفيات لدى المرضى المسنين المصابين بذهان مرتبط بالخرف**,medical_term,sentence,warnings,high
"**Cerebrovascular adverse events, including stroke**",**أحداث قلبية وعائية سلبية، بما في ذلك السكتة الدماغية**,medical_term,term,warnings,high
**Patients prone to convulsive disorders. Convulsions have been reported at therapeutic doses**,**المرضى المعرضون لاضطرابات اختلاجية. تم الإبلاغ عن اختلاجات في الجرعات العلاجية**,medical_term,sentence,warnings,high
**Selective inhibitor of factor Xa (FXa)**,**مثبط انتقائي لعامل Xa**,medical_term,sentence,updated_mechanism,high
**Does not require a cofactor (such as Anti-thrombin III) for activity**,**لا يتطلب عامل مساعد (مثل مضاد الثرومبين III) للنشاط**,medical_term,sentence,updated_mechanism,high
**Inhibits free FXa and prothrombinase activity**,**يثبط عامل Xa الحر ونشاط البروثرومبيناز**,medical_term,sentence,updated_mechanism,high
**Decreases thrombin generation**,**يقلل من توليد الثرومبين**,medical_term,term,updated_mechanism,high
**No direct effect on platelet aggregation**,**لا تأثير مباشر على تجمع الصفيحات**,medical_term,sentence,updated_mechanism,high
**Indirectly inhibits platelet aggregation induced by thrombin**,**يثبط بشكل غير مباشر تجمع الصفيحات المحفز بالثرومبين**,medical_term,sentence,updated_mechanism,high
**Clopidogrel selectively inhibits the binding of adenosine diphosphate (ADP) to its platelet receptor**,**يثبط كلوبيدوغريل بشكل انتقائي ارتباط ثنائي فوسفات الأدينوزين (ADP) بمستقبلاته على الصفيحات**,medical_term,sentence,updated_mechanism,high
**Inhibition of the cyclooxygenase enzyme**,**تثبيط إنزيم السيكلوأوكسيجيناز**,medical_term,term,updated_mechanism,high
**Decreased formation of thromboxane A2**,**انخفاض تكوين الثرومبوكسان A2**,medical_term,term,updated_mechanism,high
"**Non-steroidal compound with anti-rheumatic, anti-inflammatory, analgesic and antipyretic properties**",**مركب غير ستيرويدي ذو خصائص مضادة للروماتيزم، مضادة للالتهاب، مسكنة وخافضة للحرارة**,medical_term,sentence,updated_mechanism,high
**Inhibition of prostaglandin biosynthesis**,**تثبيط تخليق البروستاغلاندين**,medical_term,term,updated_mechanism,high
**PRICKSAGE (Agomelatine 25mg) (Film-Coated Tablets)**,**بريكسيج (أقراص ملبسة بالفيلم) (أجوميلاتين ٢٥ ملغ)**,medical_term,term,leaflet_content_basic,high
**AGILOMOX (Paracetamol 500 mg + Diclofenac Potassium 50 mg) (Tablets)**,**أجيلوموكس (باراسيتامول ٥٠٠ ملغ + ديكلوفيناك بوتاسيوم ٥٠ ملغ) (أقراص)**,medical_term,sentence,leaflet_content_basic,high
"**ARIPIPRAZOLE (10 mg, 15 mg) (Tablets)**",**أريبيبرازول (١٠ ملغ، ١٥ ملغ) (أقراص)**,medical_term,sentence,leaflet_content_basic,high
**Composition & Excipients: Each film-coated tablet contains...**,**التركيب والسواغات: يحوي كل قرص ملبس بالفيلم على...**,medical_term,sentence,leaflet_content_basic,high
"**Chemical composition: Paracetamol 500 mg, Diclofenac Potassium 50 mg**",**التركيب الكيميائي: باراسيتامول ٥٠٠ ملغ، ديكلوفيناك بوتاسيوم ٥٠ ملغ**,medical_term,sentence,leaflet_content_basic,high
**Each tablet contains 10 mg or 15 mg of aripiprazole**,**يحوي كل قرص على ١٠ ملغ أو ١٥ ملغ من أريبيبرازول**,medical_term,sentence,leaflet_content_basic,high
"**Excipients: Microcrystalline cellulose, Maize starch, Lactose monohydrate, Magnesium stearate, Iron oxide red**",**السواغات: السليلوز البلوري المجهري، نشاء الذرة، لاكتوز أحادي الماء، ستيرات المغنيسيوم، أكسيد الحديد الأحمر**,medical_term,sentence,leaflet_content_basic,high
**Aripiprazole exhibits partial agonist activity at D2 and 5-HT1A receptors and antagonist activity at 5-HT2A receptors**,**أريبيبرازول يُظهر نشاطًا محفزًا جزئيًا للمستقبلات D2 و5-HT1A ونشاطًا مضادًا للمستقبلات 5-HT2A**,medical_term,sentence,leaflet_content_basic,high
"**Absorption: Well absorbed after oral administration, with peak plasma concentrations within 3-5 hours**",**الامتصاص: يمتص بشكل جيد بعد التناول عن طريق الفم، مع وصول التركيز الأقصى في البلازما خلال ٣-٥ ساعات**,medical_term,sentence,leaflet_content_basic,high
**Bioavailability: 87%**,**التوافر الحيوي: ٨٧٪**,medical_term,term,leaflet_content_basic,high
**Distribution: >99% bound to serum proteins**,**التوزيع: أكثر من ٩٩٪ مرتبط ببروتينات المصل**,medical_term,sentence,leaflet_content_basic,high
**Metabolism and Elimination: Approximately 25% in urine and 55% in feces**,**الاستقلاب والإطراح: حوالي ٢٥٪ في البول و٥٥٪ في البراز**,medical_term,sentence,leaflet_content_basic,high
**For the treatment of major depressive episodes in adults**,**لعلاج نوبات الاكتئاب الرئيسية عند البالغين**,medical_term,sentence,leaflet_content_basic,high
**For the relief of signs and symptoms of osteoarthritis with gastric protection**,**لتخفيف علامات وأعراض التهاب المفاصل التنكسية مع حماية معدية**,medical_term,sentence,leaflet_content_basic,high
**Treatment of schizophrenia**,**علاج الفصام**,medical_term,term,leaflet_content_basic,high
