en,ar,source
Hypersensitive,فرط الحساسية,core_medical_vocabulary
Side effects,التأثيرات الجانبية,core_medical_vocabulary
CNS Depression,تثبيط الجهاز العصبي المركزي,core_medical_vocabulary
Sedation,تهدئة,core_medical_vocabulary
Lethargy,خمول,core_medical_vocabulary
Vertigo,دوار,core_medical_vocabulary
Barbiturate poisoning,التسمم بالباربيتورات,core_medical_vocabulary
Cardiovascular system,الجملة القلبية الوعائية,core_medical_vocabulary
Presentation,التعبئة,core_medical_vocabulary
Blisters,أشرطة بليستر,core_medical_vocabulary
Storage,شروط الحفظ,core_medical_vocabulary
Room temperature,درجة حرارة الغرفة,core_medical_vocabulary
Moisture,الرطوبة,core_medical_vocabulary
**Indications: Sleep disorders**,**استطبابات: اضطرابات النوم**,indications
**Indications: Central Acting Analgesic**,**استطبابات: مسكن ألم مركزي التأثير**,indications
"**Indications: Anti-bacterial, Gingivitis**",**استطبابات: مضاد بكتيري، التهاب اللثة**,indications
**Contraindications: Severe hepatic impairment**,**مضادات الاستطباب: قصور كبدي شديد**,indications
**Active pathological bleeding**,**نزف مرضى نشط**,updated_contraindications
**Third trimester of pregnancy**,**الثلث الثالث من الحمل**,updated_contraindications
**Concurrent anticoagulant therapy**,**العلاج المتزامن بمضادات التخثر**,updated_contraindications
**Nasal polyps associated with asthma**,**سلائل أنفية مرتبطة بالربو**,updated_contraindications
**Last trimester of pregnancy**,**الثلث الأخير من الحمل**,updated_contraindications
**Severe cardiac failure**,**فشل قلب شديد**,updated_contraindications
Acetylsalicylic acid,حمض الأسيتيل ساليسيليك,who_essential_medicines
Ibuprofen,إيبوبروفين,who_essential_medicines
Paracetamol,باراسيتامول,who_essential_medicines
Amoxicillin,أموكسيسيلين,who_essential_medicines
Azithromycin,أزيثرومايسين,who_essential_medicines
Ciprofloxacin,سيبروفلوكساسين,who_essential_medicines
Ceftriaxone,سيفترياكسون,who_essential_medicines
Metronidazole,ميترونيدازول,who_essential_medicines
Doxycycline,دوكسي سيكلين,who_essential_medicines
Diclofenac,ديكلوفيناك,who_essential_medicines
Tramadol,ترامادول,who_essential_medicines
Morphine,مورفين,who_essential_medicines
Diazepam,ديازيبام,who_essential_medicines
Lorazepam,لورازيبام,who_essential_medicines
Amlodipine,أملوديبين,who_essential_medicines
Enalapril,إنالابريل,who_essential_medicines
Losartan,لوسارتان,who_essential_medicines
Metformin,ميتفورمين,who_essential_medicines
Insulin,إنسولين,who_essential_medicines
Glibenclamide,غليبنكلاميد,who_essential_medicines
Glimepiride,غليميبيريد,who_essential_medicines
Omeprazole,أوميبرازول,who_essential_medicines
Pantoprazole,بانتوبرازول,who_essential_medicines
Prednisone,بريدنيزون,who_essential_medicines
Prednisolone,بريدنيزولون,who_essential_medicines
Dexamethasone,ديكساميثازون,who_essential_medicines
Hydrocortisone,هيدروكورتيزون,who_essential_medicines
Salbutamol,سالبوتامول,who_essential_medicines
Montelukast,مونتيلوكاست,who_essential_medicines
Cetirizine,سيتيريزين,who_essential_medicines
Loratadine,لوراتادين,who_essential_medicines
Furosemide,فوروسيميد,who_essential_medicines
Spironolactone,سبيرونولاكتون,who_essential_medicines
Warfarin,وارفارين,who_essential_medicines
Heparin,هيبارين,who_essential_medicines
Clopidogrel,كلوبيدوغريل,who_essential_medicines
Atorvastatin,أتورفاستاتين,who_essential_medicines
Simvastatin,سيمفاستاتين,who_essential_medicines
Phenytoin,فينيتوين,who_essential_medicines
Carbamazepine,كاربامازيبين,who_essential_medicines
Valproic acid,حمض الفالبرويك,who_essential_medicines
Clozapine,كلوزابين,who_essential_medicines
Haloperidol,هالوبيريدول,who_essential_medicines
Fluoxetine,فلوكسيتين,who_essential_medicines
Sertraline,سيرترالين,who_essential_medicines
Citalopram,سيتالوبرام,who_essential_medicines
Amitriptyline,أميتريبتيلين,who_essential_medicines
Levothyroxine,ليفوثيروكسين,who_essential_medicines
Alendronic acid,حمض الأليندرونيك,who_essential_medicines
Folic acid,حمض الفوليك,who_essential_medicines
Vitamin B12,فيتامين ب12,who_essential_medicines
Adrenaline,أدرينالين,who_essential_medicines
Atropine,أتروبين,who_essential_medicines
Dopamine,دوبامين,who_essential_medicines
Insulin glargine,إنسولين غلارجين,who_essential_medicines
Metoprolol,ميتوبرولول,who_essential_medicines
Aripiprazole,أريبيبرازول,who_essential_medicines
Olanzapine,أولانزابين,who_essential_medicines
Risperidone,ريسبريدون,who_essential_medicines
Quetiapine,كيتيابين,who_essential_medicines
Lithium carbonate,كربونات الليثيوم,who_essential_medicines
Clonazepam,كلونازيبام,who_essential_medicines
Alprazolam,ألبرازولام,who_essential_medicines
Ketotifen,كيتوتيفين,who_essential_medicines
Sumatriptan,سوماتريبتان,who_essential_medicines
Orlistat,أورليستات,who_essential_medicines
Alogliptin,أالوغليبتين,who_essential_medicines
Nortriptyline,نورتريبتيلين,who_essential_medicines
Agomelatine,أغوميلاتين,who_essential_medicines
Ofloxacin,أوفلوكساسين,who_essential_medicines
Cefotaxime,سيفوتاكسيم,who_essential_medicines
Gentamicin,جنتاميسين,who_essential_medicines
Vancomycin,فانكومايسين,who_essential_medicines
Fluconazole,فلوكونازول,who_essential_medicines
Acyclovir,أسيكلوفير,who_essential_medicines
Oseltamivir,أوسيلتاميفير,who_essential_medicines
Ivermectin,إيفرميكتين,who_essential_medicines
Albendazole,ألبيندازول,who_essential_medicines
Mebendazole,ميبيندازول,who_essential_medicines
Ranitidine,رانيتيدين,who_essential_medicines
Domperidone,دومبيريدون,who_essential_medicines
Ondansetron,أوندانسيترون,who_essential_medicines
Loperamide,لوبراميد,who_essential_medicines
Diltiazem,ديلتيازيم,who_essential_medicines
Nifedipine,نيفيديبين,who_essential_medicines
Captopril,كابتوبريل,who_essential_medicines
Hydrochlorothiazide,هيدروكلوروثيازيد,who_essential_medicines
Digoxin,ديجوكسين,who_essential_medicines
Dobutamine,دوبوتامين,who_essential_medicines
Nitroglycerin,نيتروغليسرين,who_essential_medicines
Enoxaparin,إينوكسابارين,who_essential_medicines
Chlorphenamine,كلورفينامين,who_essential_medicines
Diphenhydramine,ديفينهيدرامين,who_essential_medicines
Ipratropium bromide,بروميد الإبراتروبيوم,who_essential_medicines
Beclometasone,بيكلوميثازون,who_essential_medicines
Budesonide,بوديسونيد,who_essential_medicines
Fluticasone,فلوتيكازون,who_essential_medicines
Sodium cromoglicate,كروموغليكات الصوديوم,who_essential_medicines
Consult your doctor before use.,استشر طبيبك قبل الاستعمال.,curated_medical_phrases
For oral administration only.,للاستعمال الفموي فقط.,curated_medical_phrases
Shake well before use.,يرجّز جيداً قبل الاستعمال.,curated_medical_phrases
Each tablet contains:,كل قرص يحتوي على:,curated_medical_phrases
Dosage form: Film-coated tablet,الشكل الصيدلاني: قرص مغلف بغشاء,curated_medical_phrases
Half-life: approximately 6 hours.,عمر النصف: حوالي 6 ساعات.,curated_medical_phrases
Excreted mainly in urine.,يُفرز بشكل رئيسي في البول.,curated_medical_phrases
Breastfeeding: Not recommended during lactation.,الرضاعة: لا يوصى به أثناء الإرضاع.,curated_medical_phrases
Treatment of essential hypertension.,علاج ارتفاع الضغط الشرياني الأساسي.,curated_medical_phrases
Anti-inflammatory and analgesic.,مضاد للالتهاب ومسكن.,curated_medical_phrases
Sedative and anxiolytic.,مهدئ ومضاد للقلق.,curated_medical_phrases
Antidepressant of the SSRI class.,مضاد اكتئاب من زمرة مثبطات استرداد السيروتونين الانتقائية.,curated_medical_phrases
Antipsychotic medication.,دواء مضاد للذهان.,curated_medical_phrases
Bronchodilator for relief of bronchospasm.,موسع قصبات لتخفيف تشنج القصبات.,curated_medical_phrases
Antiplatelet agent.,عامل مضاد للصفيحات.,curated_medical_phrases
Lipid-lowering agent.,عامل خافض للشحوم.,curated_medical_phrases
Thyroid hormone replacement therapy.,علاج بديل بهرمون الدرقية.,curated_medical_phrases
Topical antifungal cream.,كريم مضاد فطريات موضعي.,curated_medical_phrases
Nasal decongestant.,مزيل احتقان أنفي.,curated_medical_phrases
Cough suppressant.,مضاد سعال.,curated_medical_phrases
Expectorant.,مقشع.,curated_medical_phrases
Laxative for relief of constipation.,ملين لتخفيف الإمساك.,curated_medical_phrases
Antidiarrheal agent.,عامل مضاد للإسهال.,curated_medical_phrases
Oral antidiabetic agent.,عامل خافض للسكر فموي.,curated_medical_phrases
NSAID - Non-steroidal anti-inflammatory drug.,مضاد التهاب غير ستروئيدي.,curated_medical_phrases
Betalactam antibiotic.,مضاد حيوي بيتا لاكتامي.,curated_medical_phrases
Fluoroquinolone antibiotic.,مضاد حيوي فلوروكينولوني.,curated_medical_phrases
Macrolide antibiotic.,مضاد حيوي ماكروليدي.,curated_medical_phrases
Angiotensin converting enzyme inhibitor.,مثبط إنزيم تحويل الأنجيوتنسين.,curated_medical_phrases
Angiotensin II receptor blocker.,حاصر مستقبلات الأنجيوتنسين II.,curated_medical_phrases
Calcium channel blocker.,حاصر قنوات الكالسيوم.,curated_medical_phrases
Beta-adrenergic receptor blocker.,حاصر مستقبلات بيتا الأدرينالية.,curated_medical_phrases
PRICKSAGE (Agomelatine 25mg) (Film-Coated Tablets),بريكسيج (أقراص ملبسة بالفيلم) (أجوميلاتين ٢٥ ملغ),term
"ARIPIPRAZOLE (10 mg, 15 mg) (Tablets)",أريبيبرازول (١٠ ملغ، ١٥ ملغ) (أقراص),term
Mechanism of Action,آلية التأثير,term
Pharmacokinetics,الحرائك الدوائية,term
Bioavailability: 87%,التوافر الحيوي: ٨٧٪,term
Indications,استطبابات,term
Treatment of schizophrenia,علاج الفصام,term
Adjunctive treatment of major depressive disorder,العلاج المساعد لاضطراب الاكتئاب الرئيسي,term
Irritability associated with autistic disorder,التهيج المرتبط باضطراب التوحد,term
Treatment of Tourette's disorder,علاج اضطراب توريت,term
Analgesics (for pain relief),مسكنات الألم,term
Anti-inflammatory,مضادات الالتهاب,term
Diuretic,مدر للبول,term
Antioxidant,مضاد للأكسدة,term
Contraindications,مضادات الاستطباب,term
Active or history of recurrent peptic ulcer/haemorrhage,قرحة هضمية نشطة أو تاريخ من النزف أو الانثقاب المتكرر,term
History of gastrointestinal bleeding or perforation,تاريخ من نزف معدي معوي أو انثقاب,term
Pregnancy,الحمل,term
Side Effects / Adverse Reactions,الآثار الجانبية / ردود الفعل السلبية,term
Nausea and dizziness,الغثيان والدوار,term
"Tremor, blurred vision, abdominal discomfort, gastrointestinal disorders",رعاش، عدم وضوح الرؤية، عدم راحة في البطن، اضطرابات معدية معوية,term
"Tachycardia, hypertension, hypotension, leukopenia, neutropenia",خفقان القلب، ارتفاع ضغط الدم، انخفاض ضغط الدم، نقص الكريات البيضاء، نقص العدلات,term
Suicidal thoughts and behaviors,أفكار انتحارية وسلوكيات,term
"Dysphagia, esophageal dysmotility, aspiration pneumonia",صعوبة البلع، اضطراب حركية المريء، التهاب رئوي استشاقي,term
Warnings and Precautions,تحذيرات واحتياطات,term
"Cerebrovascular adverse events, including stroke",أحداث قلبية وعائية سلبية، بما في ذلك السكتة الدماغية,term
Avoid concomitant use with other NSAIDs,تجنب الاستخدام المتزامن مع مضادات الالتهاب غير الستيرويدية الأخرى,term
Dosage and Administration,الجرعة وطريقة الاستعمال,term
Overdosage / Toxicity,فرط الجرعة / السمية,term
Storage Conditions,شروط الحفظ,term
"Store at room temperature, between 15-30° C",يحفظ في درجة حرارة الغرفة، بين ١٥-٣٠ درجة مئوية,term
Keep out of reach of children,يحفظ بعيدًا عن متناول الأطفال,term
Store in a dry place,يحفظ في مكان جاف,term
Packaging,التعبئة,term
"2 blisters, each contains 10 tablets/carton box",علبتان من البليستر، كل منهما يحتوي على ١٠ أقراص/علبة كرتون,term
Manufactured by: HAMA PHARMA Hama - Syria,تصنيع: هاما فارما - حماة - سوريا,term
Agomelatine,أجوميلاتين,term
Aripiprazole,أريبيبرازول,term
Paracetamol / Acetaminophen,باراسيتامول,term
Diclofenac Potassium,ديكلوفيناك بوتاسيوم,term
Naproxen,نابروكسين,term
Esomeprazole,إيزوميبرازول,term
Tramadol hydrochloride,ترامادول هيدروكلوريد,term
Spironolactone,سبيرونولاكتون,term
Furosemide,فوروسمايد,term
Enalapril maleate,ينالابريل مالات,term
Hydrochlorthiazide,هايدروكلوروثيازيد,term
Metronidazole,مترونيدازول,term
Spiramycin,سبيرامايسين,term
Vitamin C / Ascorbic Acid,فيتامين C / حمض الأسكوربيك,term
Vitamin B1 (Thiamine),فيتامين B1 (ثيامين),term
Vitamin B6 (Pyridoxine),فيتامين B6 (بيريدوكسين),term
Vitamin B12 (Cyanocobalamin),فيتامين B12 (سيانوكوبالامين),term
Zinc,زنك,term
Film-Coated Tablets,أقراص ملبسة بالفيلم,term
Tablets,أقراص,term
Excipients,السواغات,term
Microcrystalline Cellulose,السليلوز البلوري المجهري,term
Lactose monohydrate,لاكتوز أحادي الماء,term
Magnesium stearate,ستيرات المغنيسيوم,term
Maize starch,نشاء الذرة,term
Absorption,الامتصاص,term
Bioavailability,التوافر الحيوي,term
Distribution,التوزيع,term
Metabolism,الاستقلاب,term
Elimination,الإطراح,term
Peak plasma concentration,التركيز الأقصى في البلازما,term
Half-life,نصف عمر,term
Hypersensitivity,فرط الحساسية,term
Allergic reactions,ردود فعل تحسسية,term
Anaphylaxis,الصدمة التحسسية,term
Nausea,غثيان,term
Vomiting,قيء,term
Dizziness,دوار,term
Headache,صداع,term
Constipation,إمساك,term
Diarrhea,إسهال,term
Rash,طفح جلدي,term
Tremor,رعاش,term
Fatigue,إرهاق,term
Insomnia,أرق,term
Somnolence,نعاس,term
Anxiety,قلق,term
Akathisia,أكاثيزيا (اضطراب حركي),term
Hypertension,ارتفاع ضغط الدم,term
Hypotension,انخفاض ضغط الدم,term
Tachycardia,خفقان القلب,term
Bradycardia,بطء القلب,term
Leukopenia,نقص الكريات البيضاء,term
Neutropenia,نقص العدلات,term
Agranulocytosis,نقص الكريات المحببة,term
Hepatic impairment,قصور كبدي / اعتلال كبدي,term
Renal impairment,اعتلال كلوي,term
Cardiovascular disease,أمراض قلبية وعائية,term
Cerebrovascular disease,أمراض دماغية وعائية,term
Dementia,خرف,term
Schizophrenia,فصام,term
Bipolar Disorder,اضطراب ثنائي القطب,term
Depression / Major Depressive Disorder,اكتئاب / اضطراب اكتئابي كبير,term
Manic episode,نوبة هوسية,term
Autistic Disorder,اضطراب التوحد,term
Tourette's Disorder,اضطراب توريت,term
Seizures / Convulsions,نوبات صرعية / اختلاجات,term
Suicidal thoughts,أفكار انتحارية,term
Suicidality,سلوك انتحاري,term
Lactation / Nursing,الإرضاع,term
Pediatric population,الأطفال,term
Geriatric Use,استخدام للمسنين,term
Overdosage,فرط الجرعة,term
Toxicity,السمية,term
Drug Interactions,التداخلات الدوائية,term
CYP3A4 Inhibitors,مثبطات CYP3A4,term
CYP3A4 Inducers,محفزات CYP3A4,term
Antihypertensive Drugs,أدوية خافضة لضغط الدم,term
Benzodiazepines,بنزوديازيبينات,term
Antipsychotics,مضادات الذهان,term
Antidepressants,مضادات الاكتئاب,term
NSAIDs (Non-Steroidal Anti-Inflammatory Drugs),مضادات الالتهاب غير الستيرويدية,term
Analgesics,مسكنات الألم,term
Antibacterial,مضاد للبكتيريا,term
Central Acting Analgesic,مسكن الألم المركزي,term
Blister,بليستر,term
Room temperature,درجة حرارة الغرفة,term
Dry place,مكان جاف,term
Keep away from light,يحفظ بعيدًا عن الضوء,term
Keep away from humidity,يحفظ بعيدًا عن الرطوبة,term
Manufactured by,تصنيع,term
Medicament,دواء,term
Follow strictly the doctor’s prescription,اتباع تعليمات الطبيب بدقة,term
Do not interrupt the treatment period,لا تقاطع فترة العلاج,term
KEEP MEDICAMENTS OUT OF REACH OF CHILDREN,يحفظ الدواء بعيدًا عن متناول الأطفال,term
Worked for 1min 30s,الهدف: إضافة مصطلحات جديدة واستخراج نشرات أدوية إضافية من موقع Hama Pharma.,term
paracetamol-hama-pharma,أحتاج إلى استخراج روابط التنزيل لكل منها. من النمط الذي رأيته سابقًا:,term
METRONIDAZOLE PLUS - Metronidazole + Spiramycin,CLOZAPINE - مضاد ذهان,term
CLOZAPINE HAMA PHARMA (Tablets),كلوزابين هاما فارما (أقراص),term
FEM-RELIEVE (Film-Coated Tablets),فيم-ريليف (أقراص ملبسة بالفيلم),term
VITOREX (Pizotifen 0.5 mg) (Capsules),فيتوركس (بيزوتيفين ٠.٥ ملغ) (كبسولات),term
ULCER-STOP (Misoprostol 200 µg) (Tablets),ألكر-ستوب (ميزوبروستول ٢٠٠ ميكروجرام) (أقراص),term
Pharmacodynamics: Centrally acting synthetic analgesic compound,الديناميكا الدوائية: مركب مسكن اصطناعي مركزي التأثير,term
Plasma protein binding: ~20%,الارتباط ببروتينات البلازما: ≈٢٠٪,term
Metabolism: CYP3A4 and CYP2D6 isoenzymes involved,الاستقلاب: إنزيمات CYP3A4 وCYP2D6 مشاركة,term
Elimination: Almost completely excreted via kidneys,الإطراح: يتم طرحه تقريبًا بالكامل عن طريق الكلى,term
Indications: Treatment of moderate to severe pain,الاستطبابات: علاج الألم المتوسط إلى الشديد,term
Diclofenac Sodium,ديكلوفيناك صوديوم,term
Capsules,كبسولات,term
Sustained-Release Capsules,كبسولات ممتدة المفعول,term
Sodium Starch Glycolate,نشاء الصوديوم غليكولات,term
Pregelatinized Starch,نشاء مسبق التجلط,term
Corn Starch,نشاء الذرة,term
HPMC (Hydroxypropyl Methylcellulose),هيدروكسيبروبيل ميثيل سيلولوز,term
Iron Oxide Yellow/Red,أكسيد الحديد الأصفر/الأحمر,term
Plasma Protein Binding,الارتباط ببروتينات البلازما,term
Peak Plasma Concentration (Cmax),التركيز الأقصى في البلازما,term
Enzyme Inhibitor,مثبط إنزيم,term
Enzyme Inducer,محفز إنزيم,term
Anaphylaxis,صدمة تحسسية,term
Tachycardia,تسارع القلب,term
Postural Hypotension,انخفاض ضغط الدم الوضعي,term
Cardiovascular Collapse,وهط قلب وعائي,term
Respiratory Depression,كبت التنفس,term
Gastrointestinal Irritation,تهيج الجهاز الهضمي,term
Drug Dependence,اعتمادية دوائية,term
Overdosage / Overdose,فرط الجرعة,term
Peptic Ulcer,قرحة هضمية,term
Gastrointestinal Bleeding,نزف معدي معوي,term
Perforation,انثقاب,term
Severe Hepatic Impairment,قصور كبدي شديد,term
Severe Renal Impairment,قصور كلوي شديد,term
Dementia-Related Psychosis,ذهان مرتبط بالخرف,term
Suicidal Thoughts and Behaviors,أفكار وسلوكيات انتحارية,term
Central Acting Analgesic,مسكن ألم مركزي التأثير,term
Opioid Analgesics,مسكنات أفيونية,term
Atypical Antipsychotics,مضادات ذهان غير نمطية,term
Tricyclic Antidepressants,مضادات الاكتئاب ثلاثية الحلقات,term
SSRIs (Selective Serotonin Reuptake Inhibitors),مثبطات استرداد السيروتونين الانتقائية,term
SNRIs (Serotonin-Norepinephrine Reuptake Inhibitors),مثبطات استرداد السيروتونين والنورادرينالين,term
MAO Inhibitors (Monoamine Oxidase Inhibitors),مثبطات مونوأمين أوكسيداز,term
Antihypertensives,أدوية خافضة لضغط الدم,term
Diuretics,مدرات البول,term
Thiazide Diuretics,مدرات البول الثيازيدية,term
Loop Diuretics,مدرات البول العروية,term
Potassium-Sparing Diuretics,مدرات البول الحافظة للبوتاسيوم,term
ACE Inhibitors (Angiotensin-Converting Enzyme Inhibitors),مثبطات الإنزيم المحول للأنجيوتنسين,term
Antibiotics,مضادات حيوية,term
Proton Pump Inhibitors,مثبطات مضخة البروتون,term
Antioxidants,مضادات الأكسدة,term
Cerebrovascular Adverse Events,أحداث قلبية وعائية سلبية,term
Orthostatic Hypotension,انخفاض ضغط الدم الوضعي,term
Seizure Threshold,عتبة الاختلاج,term
Dysphagia,صعوبة البلع,term
Esophageal Dysmotility,اضطراب حركية المريء,term
Aspiration Pneumonia,التهاب رئوي استشاقي,term
Medication-Overuse Headache (MOH),صداع ناجم عن إفراط في استخدام المسكنات,term
MAO Inhibitors,مثبطات مونوأمين أوكسيداز,term
Mixed Agonist/Antagonists,ناظم/مضاد مختلط,term
Activated Charcoal,الفحم المنشط,term
Pediatric Use,استخدام للأطفال,term
Pregnancy Category C,فئة الحمل C,term
Dosage Adjustment,تعديل الجرعة,term
Dosage Interval,فترة الجرعة,term
Overdosage Management,إدارة فرط الجرعة,term
Store at room temperature,يحفظ في درجة حرارة الغرفة,term
Do not interrupt treatment,لا تقاطع فترة العلاج,term
HAMA PHARMA,حماة فارما,term
TRAMADOL HAMA PHARMA,ترامادول حماة فارما,term
AGILOMOX,أجيلوموكس,term
ARIPIPRAZOLE HAMA PHARMA,أريبيبرازول حماة فارما,term
PRICKSAGE,بريكسيج,term
METRONIDAZOLE PLUS HAMA PHARMA,مترونيدازول بلس حماة فارما,term
CLOZAPINE HAMA PHARMA,كلوزابين حماة فارما,term
KETOTIFEN HAMA PHARMA,كيتوتيفين حماة فارما,term
ULCER-STOP,ألكر-ستوب,term
DILTIAZEM HAMA PHARMA,ديلتيازيم حماة فارما,term
Plasma protein binding of about 20%,الارتباط ببروتينات البلازما حوالي ٢٠٪,term
Indications: Treatment of moderate to severe pain,استطبابات: علاج الألم المتوسط إلى الشديد,term
Indications: Sleep disorders,استطبابات: اضطرابات النوم,term
Indications: Central Acting Analgesic,استطبابات: مسكن ألم مركزي التأثير,term
"Indications: Anti-bacterial, Gingivitis",استطبابات: مضاد بكتيري، التهاب اللثة,term
"Contraindications: MAO inhibitors, Severe hepatic/renal/respiratory impairment, Epilepsy",مضادات الاستطباب: مثبطات مونوأمين أوكسيداز، قصور كبدي/كلوي/تنفسي شديد، صرع,term
Contraindications: Severe hepatic impairment,مضادات الاستطباب: قصور كبدي شديد,term
Manufactured by: HAMA PHARMA Hama - Syria,تصنيع: حماة فارما - حماة - سوريا,term
Paracetamol,باراسيتامول,term
Treatment of Deep Vein Thrombosis (DVT),علاج خثار الوريد العميق,term
Treatment of Pulmonary Embolism (PE),علاج الانسداد الرئوي,term
Treatment of moderate to severe pain,علاج الألم المتوسط إلى الشديد,term
Active pathological bleeding,نزف مرضى نشط,term
Third trimester of pregnancy,الثلث الثالث من الحمل,term
Last trimester of pregnancy,الثلث الأخير من الحمل,term
Hepatic failure,فشل كبدي,term
Renal failure,فشل كلوي,term
"Hypersensitivity to clopidogrel, salicylates or NSAIDs",فرط الحساسية لكلوبيدوغريل، الساليسيلات أو مضادات الالتهاب غير الستيرويدية,term
Selective inhibitor of factor Xa (FXa),مثبط انتقائي لعامل Xa,term
Inhibition of the cyclooxygenase enzyme,تثبيط إنزيم السيكلوأوكسيجيناز,term
Inhibition of prostaglandin biosynthesis,تثبيط تخليق البروستاغلاندين,term
Avoid using omeprazole or esomeprazole with clopidogrel,تجنب استخدام أوميبرازول أو إيزوميبرازول مع كلوبيدوغريل,term
Dispersible tablets,أقراص قابلة للتشتت,term
"Store at room temperature, 20° -25° C",يحفظ في درجة حرارة الغرفة، ٢٠-٢٥ درجة مئوية,term
Agilomox,Aripiprazole حماة فارما,term
ARIPIPRAZOLE: 163 Arabic lines found,التركيب و السضواغات: تحوي المضضغوطة الواحدة: اأريبيبرازول,term
TRAMADOL: 136 Arabic lines found,التركيب: يحوي إلقرصس إلملبسس بالفيلم: ترإمادول هيدروكلوريد,term
Drug Classes,"Analgesic → مسكن ألم, NSAID → مضاد التهاب غير ستيروئيدي, Antibiotic → مضاد حيوي, ACE inhibitor → مثبط للخميرة المحولة للأنجيوتنسين",term
Warnings,"Hypersensitivity → فرط الحساسية, Pregnancy → حمل, Renal impairment → قصور كلوي",term
Side Effects,"Nausea → غثيان, Headache → صداع, Rash → طفح جلدي, Liver damage → ضرر الكبد",term
Storage,"Store at room temperature → يحفظ في درجة حرارة الغرفة, Keep out of reach of children → يحفظ بعيدا عن متناول الأطفال",term
"composition, indications, contraindications, etc.",اكتازون آسيا 15 - بيوكليتازن هيدروكلوريد 15 ملغ - دواء مضاد للداء السكري، من فئة الثيازوليدين ديون,term
Isoniazid 100 mg or 300 mg,ايزونازيد ١٠٠ ملغ أو ٣٠٠ ملغ,term
Tuberculosis treatment and prevention,علاج ووقاية مرض السل,term
Rifampicin 150 mg or 300 mg,ريفامبيسين ١٥٠ ملغ أو ٣٠٠ ملغ,term
"Anti-tuberculosis, Antibacterial",مضاد للدرن، مضاد حيوي,term
"Microcrystalline cellulose, Starch, Magnesium stearate, etc.",مسحوق السليلوز، نشا، ستيرات المغنزيوم، إلخ,term
Central acting analgesic,مسكن عمل مركزي,term
Aminoglycoside antibiotic,مضاد حيوي، من الأمينوغليكوزيدات,term
Xanthine oxidase inhibitor,مثبط للكزانتين أوكسيداز,term
Alpha-adrenergic receptor antagonist,مثبط لمستقبلات ألفا الأدرينرجية,term
Film-coated tablets,مضغوطات ملبسة بالفيلم,term
Capsules,كبسول,term
"Injection (IM, IV)",حقن / داخل العضل، داخل الوريد,term
Linagliptin 5 mg + Empagliflozin 10 mg,ليناغلبتين ٥ ملغ + إيمباغليفلوزين ١٠ ملغ,term
DPP-4 inhibitor + SGLT2 inhibitor,مثبط DPP-4 + مثبط الناقل المشترك للغلوكوز والصوديوم,term
Biguanide + SGLT2 inhibitor,بيغوانيد + مثبط الناقل المشترك للغلوكوز والصوديوم,term
Isoniazid 75 mg + Rifampicin 150 mg,ايزونيازيد ٧٥ ملغ + ريفامبيسين ١٥٠ ملغ,term
Analgesic combination,مسكن ألم مركب,term
Topical cream,آسياجينون 20,term
DPP-4 inhibitor,مثبط DPP-4,term
SGLT2 inhibitor,مثبط الناقل المشترك للغلوكوز والصوديوم,term
Water-soluble vitamin,فيتامين منحل بالماء,term
Fenofibrate 145 mg + Simvastatin 20 mg,فينوفيبرإت ١٤٥ ملغ + سيمڤاسستاتين ٢٠ ملغ,term
Simvastatin: HMG-CoA reductase inhibitor,سيمڤاسستاتين: مثبط لأنزيم HMG-CoA ريدكتاز,term
Antihypertensive combination,مزيج خافض لضغط الدم,term
Tablets,مضغوطات,term
"Prostaglandin E1 analogue, inhibits gastric acid secretion",نظير البروستاغلاندين E1، مثبط لإفرازات المعدة الحمضية,term
Protective against NSAID-induced ulcers,واقي من قرح المعدة الناتجة عن مضادات الالتهاب غير الستيروئيدية,term
Anti-ulcer agent,مضاد للقرح,term
Ibuprofen suspension,400 آسيابروفن,term
Paracetamol,أسيتامول 500,term
Paracetamol,أدوية القلب والأوعية,term
Prostaglandin E1 analogue,نظير البروستاغلاندين E1,term
Gastric acid secretion inhibitor,مثبط لإفرازات المعدة الحمضية,term
Beta-2 receptor agonist,ناهض لمستقبلات بيتا 2,term
Phenothiazine antipsychotic,دواء مضاد للذهان، نموذجي، من الفينوثيازينات,term
Topical antibiotic,مضاد حيوي، موضعي,term
Soft gelatin capsule,كبسول جيلاتيني طري,term
Chewable tablets,مضغوطات قابلة للمضغ,term
Enteric-coated tablets,مضغوطات ملبسة معوياً,term
Suspension,معلق,term
"Coenzyme for methionine synthesis, methyl group transfer",عامل مساعد إنزيم تخليق ميثيونين، ينقل مجموعات الميثيل لتجديد الميثيونين من الهيموسيسين,term
"Antioxidant, scavenges free radicals",يقوم بكسح الجذور الحرة المشتقة من الأكسجين، ويمنع أكسدة الدهون,term
"Neuroprotective, Analgesic",وقائي عصبي، مسكن للألم,term
Amitriptyline Hydrochloride 25 mg (sustained release granules),أميتريبتيلين هيدروكلورايد ٢٥ ملغ (على شكل حبيبات مديدة التحرر),term
Depression in adults,االكتئاب لدى البالغين,term
Prophylaxis of chronic tension headache,الوقاية من صداع التوتر المزمن لدى البالغين,term
"Antidepressant, Neuropathic pain agent",مضاد للاكتئاب، مسكن لألم الأعصاب,term
Sustained-release capsules,كبسول مديد التحرر,term
Vitamin D3 (Cholecalciferol) 500 IU,فيتامين د٣ (كوليكالسيفيرول) ٥٠٠ وحدة دولية,term
