en,ar,category
altered state of consciousness (ASC),تبدُّلُ حَالَةِ الوَعْي,Psychiatry and Psychology
alternate binaural loudness balance (ABLB) test,اِخْتِبارُ تَوازُنِ عُلُوِّ الصَّوت المُتَناوِب في الأُذُنين,
alternate binaural loudness balance test,اِخْتِبارُ تَوازُنِ عُلُوِّ الصَّوت المُتَناوِب في الأُذُنين,
alternating current (AC),تَيَّارٌ مُتَناوِبٌ,common entries
alternating hemiplegia,فَالِج مُتَصَالِب,Tropical medicine
anacatadidymus,مُلْتَصِق الوَسَط,
anacusis,صَمَم,"Taxonomy, nosology and classification"
anaerobic catabolism,تَقْويضٌ لَاهَوَائِيّ,
anaerobic exercise,تَمْرينٌ لَاهَوَائِيٌّ,
anaerobic exercise,تمارين لاهوائية,Rehabilitation
anaerobic infection,عَدْوَى لَاهَوَائِيَّة,Bacteriology
anaerobic litmus milk,المنبت اللاهوائي للبن عباد الشمس,Bacteriology
anaesthetic,بنج,Anesthesiology
anaesthetist,المُبنِج,Anesthesiology
anagrelide,أَناغرِيلِيد,hematology
anagrelide,أناغريليد,"Taxonomy, nosology and classification"
anakinra,أناكِينارا,Rheumatology
anakinra,أناكينرا,"Taxonomy, nosology and classification"
anal character,شَخْصِيَّةٌ شَرْجيَّة,Psychiatry and Psychology
anal column,العَمودُ الشَّرجيُّ,anatomy
anal crypt,خَبيئة شرجِيَّة,Anatomy
anal fold,طَيَّةٌ شَرْجيَّة,anatomy
anal incontinence,سلس شرجي,
anal orifice,فُوْهَةُ الشرج,anatomy
anal part of rectum,الجزء الشرجي من المستقيم,Dermatology
anal pecten,مِمْشَطُ الشَّرْج,anatomy
anal plug,سِدادَةُ الشَّرْج,anatomy
analbuminaemia,فَقْدُ ألْبومين الدَّمِ,"Taxonomy, nosology and classification"
analgesia,إزالة اللم,Anesthesiology
analgesia system,جهاز التسكين,Rehabilitation
analgesic administration,إِعْطاءُ المُسَكِّنات,"Nursing, midwifery and tocology"
analgin,أنالجين,"Taxonomy, nosology and classification"
analog signal,إِشارةٌ مُضاهِئة,
analog-to-digital,من التناظر إلى الرقمي,
analog-to-digital (A/D) converter,مُحوِّلٌ من مُضاهِئ إلى رَقْميّ,
analphalipoproteinaemia,فقد ألفا ليبوبروتين الدم,"Taxonomy, nosology and classification"
analysis of covariance,تحليل التفاوت المستمر,Biostatistics
analysis of variance,تحليل التفاوت,Biostatistics
analysis of variance (ANOV),تَحْلِيلُ التَّبايُن,Biostatistics
analysis of variance (ANOVA),تحليل التفاوت,Biostatistics
analyst,مُحَلِّل,Psychiatry and Psychology
analytic chemistry,الكِيمياءُ التَّحْلِيليَّة,Biochemistry and Chemistry
analytic epidemiology,الوبائيات التحليلية,Biostatistics
analytical study,دراسة تحليليّة,Biostatistics
analyze the characteristics,تحليل الخصائص,Anthropology and anthropometrics
analyzing,تَحْلِيل,common entries
anaphoresis,رَحَلانٌ مَصْعَدِيٌّ,Biochemistry and Chemistry
anaphylactic hypersensitivity,فَرْطُ التحسُّس التَّأَقِي,immunology
anaphylaxis shock,صدمة تأق,immunology
anaplasma,أنابلاسما,"Taxonomy, nosology and classification"
anaplastology,طب التعويض التجميلي,Surgery
anaspadias,انفتاحِ الإحليل علوي,"Taxonomy, nosology and classification"
anastomosis of vessels,تفمم الأوعية,Surgery
anastrozole,أناستروزول,"Taxonomy, nosology and classification"
anatomic abnormality,شذوذ تشريحي,Anatomy
anatomic coaptation gaps,ثغرات تشريحية مُلْتَئِمَة,Anatomy
anatomic neck,عُنُق تشريحي,Anatomy
anatomic neck,الرَّقَبَة التشريحية لعظم العَضُد,Tropical medicine
anatomic variation,اختلاف تشريحي,Anatomy
anatomical equivalent,مكافئ تشريحي,Anatomy
anatomical landmark,مَعْلَم تشريحيّ,Rehabilitation
anatomical occlusion,إِطْبَاقٌ تَشْريْحيّ,Dentistry
anatomical suspension,تعليق تشريحيّ,Rehabilitation
ancestim,أنسيستيم,"Taxonomy, nosology and classification"
ancillin,أنسيلين,"Taxonomy, nosology and classification"
ancylostoma,أنكيلوستوما,"Taxonomy, nosology and classification"
androgen insensitivity syndrome,متلازمة فقد الحساسية للأندروجين,Common entries
androgenecity,توليد الذكورة,Endocrinology & metabolism
androgen-independent growth in prostate cancer,نماء سرطان البروستاتة المستقل عن الإندروجين,Anthropology and anthropometrics
androgen-independent prostate cancer,سرطان بروستات مستقلّ عن الأندروجين,Common entries
androgynous identity,هوية خُنْثَوِيّة,sexology
androstalone,أندروستالون,"Taxonomy, nosology and classification"
anecdotal evidence,دليل سردي,Biostatistics
anejaculation,انحباس القذف,"Taxonomy, nosology and classification"
anerobic respiration,تنفس لا هوائي,Biology
anesthesia,تخديريّ,
anesthesiologist's assistant,مساعد طبيب التخدير,
anesthetic ether,إيثير مُخَدِّر,"Taxonomy, nosology and classification"
anesthetist nurse,ممرضة التخدير,"Nursing, midwifery and tocology"
aneugenic,اختلال صبغي,Genetics and genetic engineering
aneurine,أنورين,"Taxonomy, nosology and classification"
aneurysm embolization,إصمام أم الدم,Radiology and diagnostic technology
aneurysm stent-graft,تطعيم أم الدم بدعامة,Radiology and diagnostic technology
aneurysmal murmur,نَفْخَةٌ أُمْدَمِيَّة,Cardiology and cadiovascular surgery
aneurysmal thrill,هَرِيْر أُمْدَمِي,Cardiology and cadiovascular surgery
apalcillin,أبلاسيلين,"Taxonomy, nosology and classification"
apalutamide,أباليوتاميد,"Taxonomy, nosology and classification"
apatite stone,حجر أباتيت,Orthopedics
ape-hand,اليد القردية,Neurology
apepsia,فشلُ الهَضْم,Gastroenterology
apepsia,فقد العصارة الهضمية,"Taxonomy, nosology and classification"
aperture of the frontal sinus,فُتْحَةُ الجَيبِ الجَبْهِيِّ,anatomy
aperture of the glottis,فُتْحَةُ المِزْمار,anatomy
aperture of the larynx,فُتْحَةُ الحَنْجَرَة,anatomy
aperture of the sphenoid sinus,فُتْحَةُ الجَيبِ الوَتِدِيِّ,anatomy
apex of the heart,قِمَّةُ القَلْب,anatomy
apex of the urinary bladder,قِمَّةُ المَثانَة البَوْلية,anatomy
apexification,تصليح قِمَّةِ جذر السنّ,Dentistry
aphememesthesia,تَعَذُّرُ القِرَاءَة,"Taxonomy, nosology and classification"
aphemesthesia,تَعَذُّرُ القِرَاءَة,"Taxonomy, nosology and classification"
apheresis,استخلاص الدم بالفصادة,"Taxonomy, nosology and classification"
aphonic speech,هَمْس,
aphoria,ضَعْف,
aphronia,حُبْسَةُ القَرار,
aphtha,قُلاع,dermatology
apical abscess,خراج فمى,Biology
apical curettage,كَشْطٌ قِمّة السنّ,Dentistry
apical fiber,لِيفٌ قِمِّيٌّ,Dentistry
apical lordotic view,مَنْظَر قِمّة الرئة بالانحناء للخلف,"Chest, pulmonary and cardiothoratic surgery"
apical membrane,غِشَاءٌ قِمِّيٌّ,histology
apical perforation,ثُقْبٌ قِمِّيٌّ,Dentistry
apical pulse,النَّبْضُ القِمِّي,Cardiology and cadiovascular surgery
apiol,أبيول,"Traditional medicine, folk medicine"
apixaban,أبيكسابان,"Taxonomy, nosology and classification"
aplanatio cornea,انبساط القرنية,Ophthalmology and optics
aplastic anaemia,فقر دم بعدم التنسُّج,hematology
aplonidine,أبلونيدين,"Taxonomy, nosology and classification"
apnea mattress,سرير لمعالجة انقطاع التنفس,Neurology
apnea monitoring,مُرَاقَبَةُ انْقِطاعِ النَّفَس,
apnoea,انقطاع التنفس,"Taxonomy, nosology and classification"
apocrine glands,الغدد الفالذة,Histology
apocrine miliaria,دُخْنِيّة الغُدد الدُّهْنِيّة,Dermatology
apocrine sweat gland,غُدَّةٌ عَرَقِيَّة مُفْتَرَزَة,anatomy
apolipoprotein A-I,صَميمُ البرُوتِين الشَّحْمِيّ أ- I,Biochemistry and Chemistry
apolipoprotein A-II,صَميمُ البرُوتِين الشَّحْمِيّ أ- II,Biochemistry and Chemistry
apolipoprotein A-III,صَميمُ البرُوتِين الشَّحْمِيّ أ- III,Biochemistry and Chemistry
apolipoprotein B-100,صَميمُ البرُوتِين الشَّحْمِيّ ب-100,Biochemistry and Chemistry
apolipoprotein C-I,صَميمُ البرُوتِين الشَّحْمِيّ C-I,Biochemistry and Chemistry
apolipoprotein C-II,صَميمُ البرُوتِين الشَّحْمِيّ C-II,Biochemistry and Chemistry
apolipoprotein E,صَميمُ البرُوتِين الشَّحْمِيّ E,Biochemistry and Chemistry
apolipoprotein test,اِخْتِبارُ صَمِيمِ البرُوتِين الشَّحْمِيِّ,Biochemistry and Chemistry
aponeurosis,سِفاق,anatomy
aponeurotic fibroma,وَرَمٌ لِيفِيٌّ سِفاقي,surgery
apophysis,نتوء,Anatomy
apophysis,ناتِئ,anatomy
apoplectiform myelitis,التهابُ الحبلِ الشوكيِّ السَّكتيُّ,Neurology
apoplectiform myelopathy,اعتلال نخاعي سَّكْتِيُّ الشَّكْل,Neurology
apoprotein B-48,الصَّميمُ البروتِينيُّ B-48,Biochemistry and Chemistry
aposia,فقدُ العَطَش,
apotemnophilia,رغبة البتر,"Taxonomy, nosology and classification"
apothecaries’ measure,المِقْيَاسُ الصَّيْدَلانيُّ,measures
apothecaries’ weight,الوَزْنُ الصَّيْدَلانيُّ,measures
apothecary ounce,أونصه صيدلانية,Measures
apothecary pound,رطل صيدلاني,Pharmacology and therapeutics
apparatus,جهاز,Anatomy
apparent leukonychia,ابيضاض الظُّفُر,dermatology
appendectomy,اسْتِئْصالُ الزَّائِدَة,surgery
appendical reflex,مُنْعَكَسٌ زائِدِيٌّ,surgery
appendicectomy,اسْتِئْصالُ الزَّائِدَة,surgery
appendicitis pain,أَلمُ الْتِهابِ الزَّائِدَة,surgery
appendicular lithiasis,تحصِّي الزائدة الدودية,"Genitourinary medicine ,venereology and STDs"
appendicular skeleton,هَيْكَلُ الأطراف,anatomy
appendix,زائدة,Anatomy
appendix dyspepsia,عُسْرُ الهَضْمِ الزَّائِدِيُّ,Gastroenterology
appetite,شهية الطعام,Nutrition and dietetics
appetite,شَهِيَّة,common entries
apple picker’s disease,داءُ قاطِفي التفَّاح,"Chest, pulmonary and cardiothoratic surgery"
apple sorter’s disease,داءُ فارِزِي التفَّاح,dermatology
apple-jelly nodule,عُجيرة هلام التفاح,Dermatology
appliance,حطيطة,Dentistry
appliance,جهازُ تَطْبيق,Dentistry
application of backslab,تطبيق اللوح الخلفي,Orthopedics
applicator,أداةُ تَطْبيق,common entries
applicator,مِطْباق,Common entries
applied behavior analysis,التحليل التطبيقي للسلوك,Common entries
applied epidemiology,الوبائيات التطبيقية,Biostatistics
applied kinesiology,عِلْمُ الحَرَكَة التَّطْبيقِيُّ,
applied physics,فيزياء تطبيقية,Common entries
apprentice,تلميذ,Rehabilitation
apprenticeship course,دورة تعلُّم حرفة,Rehabilitation
approach-approach conflict,صِراعُ الدوافع المَرْغوبَة,Psychiatry and Psychology
appropriate for gestational age,ملائم لعمر الحمل,Obstetrics and gynecology
appropriate for gestational age (AGA) infant,رَضِيعٌ مُلائِمُ لعُمْرِ الحَمْل,Obstetrics and gynecology
apremilast,أبريميلاست,"Taxonomy, nosology and classification"
aprepitant,أبريبيتانت,"Taxonomy, nosology and classification"
apresoline,أبريسولين,"Taxonomy, nosology and classification"
apronal,أبرونال,"Taxonomy, nosology and classification"
apronalide,أبروناليد,"Taxonomy, nosology and classification"
aprosencephaly,انعدام الوجه والدماغ,"Taxonomy, nosology and classification"
aptocaine,أبتوكايين,"Taxonomy, nosology and classification"
aorta,الأَبْهَر؛ الأُورطي,anatomy
aortic arch,قوس الأبهر,Anatomy
aortic atheromatosis,دَاءٌ عَصِيْدِيٌّ في الأبهر,Rehabilitation
aortic atherosclerosis,تصلُّب عَصِيْدِيٌّ في الأبهر,Rehabilitation
aortic body,جِسْمٌ أَبْهَرِي,anatomy
aortic insufficiency,قُصُوْرُ الأَبْهَر,Cardiology and cadiovascular surgery
aortic obstruction,اِنْسِدادُ الأَبْهَري,Cardiology and cadiovascular surgery
aortic opening,1. الفوهة الأبهرية 1. الفرجة الأبهرية,Cardiology and cadiovascular surgery
aortic reconstruction,إصلاح بناءِ الأَبْهَر,Cardiology and cadiovascular surgery
aortic regurgitant murmur,نَفْحةُ التدفُّقُ الرجوعيُّ الأَبْهَرِيِّ,Cardiology and cadiovascular surgery
aortic sinus,جَيْبٌ أَبْهَرِيٌّ,Cardiology and cadiovascular surgery
aortic stenosis,تضيق الأبهر,Anatomy
aortic valve replacement,استبدال صمام أبهري,Rehabilitation
aortic-body reflex,مُنْعَكَسُ الجِسْمِ الأَبْهَري,physiology
aortopulmonary fenestration,نافذةٌ أَبْهَريَّة رِئَوِيَّة,Cardiology and cadiovascular surgery
aortopexy,تثبيت الأبهر,Cardiology and cadiovascular surgery
aorta abdominalis (=pars abdominalis aortae),الأَبْهَرُ البَطْنِيّ,Anatomy
aorta abdominalis (=pars abdominalis aortae),الجُزْءُ البَطْنِيُّ للأَبْهَر,Anatomy
aorta ascendens (=pars ascendens aortae),الأَبْهَرُ الصَّاعِد,Anatomy
aorta ascendens (=pars ascendens aortae),الجُزْءُ الصَّاعِدُ لِلأَبْهَر,Anatomy
aorta descendens (=pars thoracia aortae),الأَبْهَرُ النَّازِل,Anatomy
aorta descendens (=pars thoracia aortae),الجُزْءُ الصَّدْرِيُّ لِلأَبْهَر,Anatomy
aorta NA [pl.aortae],الأَبْهَر,Anatomy
aorta sacrococcygea (=arteria sacralis mediana NA),الأَبْهَرُ العَجُزِيُّ العُصْعُصِيّ,Anatomy
aorta sacrococcygea (=arteria sacralis mediana NA),الشِّرْيانُ العَجُزِيُّ النَّاصِف,Anatomy
aorta thoracalis (=aorta thoracica),الأَبْهَرُ الصَّدْرِيّ,Anatomy
aorta thoracica,الأَبْهَرُ الصَّدْرِيُّ,Anatomy
aortae [sing.aorta],أَبْهَرِيّ,Anatomy
aortae [sing.aorta],أَباهِر,Anatomy
aortal (=aortic),أَبْهَرِيّ,Anatomy
aortalgia,أَلَمٌ أَبْهَرِيُّ المَوقِع,Diagnostics(symptoms&signs)
aortectomy,اقْتِطاعُ الأَبْهَر,Surgery
aortic,أَبْهَرِيّ,Anatomy
aortic aneurysm,أُمُّ الدَّمِ الأَبْهَرِيَّة,Cardiology and cadiovascular surgery
aortic aneurysm wiring,إِسْلاَكُ أُمِّ الدَّمِ الأَبْهَرِيَّة,
aortic arch angiography,تَصْويرُ قَوسِ الأَبْهَر,Cardiology and cadiovascular surgery
aortic arch syndrome,مُتَلاَزِمَة قَوسِ الأَبْهَر,Diagnostics(symptoms&signs)
aortic arches,أَقْواسٌ أَبْهَرِيَّة,Anatomy
aortic area,بَاحَةٌ أَبْهَرِيَّة,Anatomy
aortic atresia,رَتَقُ الأَبْهَر,Embryology & teratology
aortic bodies,الأَجْسامُ الأَبْهَرِيَّة,
aortic calcification,تَكَلُّسُ الأَبْهَر,
aortic cartilage,الغُضْروفُ الأَبْهَرِيُّ,Anatomy
aortic compressor,ضاغِطُ الأَبْهَر,
aortic cusp,شُرْفَةٌ أَبْهَرِيَّة,
aortic dissection (=dissecting aneurysm),أُمُّ الدَّمِ المُسَلِّخَة,
aortic dissection (=dissecting aneurysm),تَسَلُّخُ الأَبْهَر,
aortic foramen (=hiatus aorticus),الفُرْجَةُ الأَبْهَرِيَّة,
aortic gland (=corpora para-aortica,الأَجْسامُ المُجَاوِرَةُ لِلأَبْهَر,Anatomy
aortic gland (=corpora para-aortica,الغُدَّةُ الأَبْهَرِيَّة,Anatomy
aortic hiatus (=hiatus aorticus,الفُرْجَةُ الأَبْهَرِيَّة,Anatomy
aortic impression of the trachea,انْطِباعُ الأَبْهَرِ عَلَى الرُّغامَى,Anatomy
aortic incompetence,قُصُوْرُ الأَبْهَر,
aortic insufficiency (=aortic regurgitation),قُصورُ الأَبْهَر,
aortic isthmus,بَرْزَخُ الأَبْهَر,
aortic knob,كَنَبٌ أَبْهَرِيّ,
aortic knuckle,بُرْجُمَةُ الأَبْهَر,
aortic lymph nodes,العُقَدُ اللِّمْفِيَّة الأَبْهَرِيَّة,Anatomy
aortic murmur,نَفْخَةٌ أَبْهَرِيَّة,Cardiology and cadiovascular surgery
aortic narrowing of esophagus,ضِيْقَة المَريءِ الأَبْهَرِيَّة,
aortic nerve,العَصَبُ الأَبْهَرِيّ,Anatomy
aortic notch (=dicrotic notch),ثُلْمَة مُتَرادِفَة,
aortic notch (=dicrotic notch),ثُلْمَة أَبْهَرِيَّة,Anatomy
aortic opening (=ostium aortae),الفُوْهَة الأَبْهَرِيَّة,Anatomy
aortic opening (=ostium aortae),الفُتْحَة الأَبْهَرِيَّة,
aortic opening in diaphragm (=hiatus aorticus),الفُرْجَة الأَبْهَرِيَّة,Anatomy
aortic opening in diaphragm (=hiatus aorticus),الفُتْحَة الأَبْهَرِيَّة للحِجاب,
aortic orifice,فُوْهَة الأَبْهَر,
aortic overload,تَحْميلٌ مُفْرِطٌ أَبْهَرِيّ,
aortic paraganglia (=corpora para aortica),الأَجْسامُ المُجَاوِرَة للأَبْهَر,
aortic paraganglia (=corpora para aortica),مُسْتَقْتِمَات أَبْهَرَيَّة,
aortic reflex,مُنْعَكَسٌ أَبْهَرِيّ,
aortic regurgitation,قَلَسُ الأَبْهَرِيّ,
aortic sac,الكيسُ الأَبْهَرِيّ,
aortic septal defect,عَيبُ الحَاجِزِ الأَبْهَرِيّ,
aortic sinusal aneurysm,أُمُّ دَمِ جَيبِ الأَبْهَر,Cardiology and cadiovascular surgery
aortic spindle,مِغْزَلِ الأَبْهَر,
aortic stenosis,تَضَيُّقُ الأَبْهَر,
aortic sulcus (=sulcus aorticus),التَّلَمُ الأَبْهَرِيّ,
aortic suprarenal artery (=arteria suprarenalis media NA),الشِّرْيانُ الأَبْهَرِيُّ الكُظْرِيّ,Anatomy
aortic suprarenal artery (=arteria suprarenalis media NA),الشِّرْيانُ الكُظْرِيُّ الأَوْسَط,Anatomy
aortic suprarenal artery (=arteria suprarenalis media NA),الشِّرْيانُ الكُظْرِيُّ الأَوسَط,Anatomy
aortic thrill,هَريرٌ أَبْهَرِيّ,
aortic triangle,المُثَلَّثُ الأَبْهَرِيّ,
aortic uterine artery (=arteria ovarica),الشِّرْيانُ الأَبْهَرِيُّ الرَّحْمِيّ,Anatomy
aortic uterine artery (=arteria ovarica),الشِّرْيانُ المَبيضِيّ,Anatomy
aortic valve,الصِّمامُ الأَبْهَرِيّ,
aortic valve atresia,رَتَقُ صِمامِ الأَبْهَر,Embryology & teratology
aortic ventricle of heart (=ventriculus sinister cordis),البُطَينُ القَلْبِيُّ الأَيسَر,
aortic ventricle of heart (=ventriculus sinister cordis),البُطَينُ الأَبْهَرِيُّ القَلْبِيّ,
aortic window,نافِذَة أَبْهَرِيَّة,
aortico-left ventricular tunnel,النَّفَقُ الأَبْهَرِيُّ-البُطَينِيُّ الأَيسَر,
aorticopulmonary,أَبْهَرِيٌّ رِئَوِيّ,Anatomy
aorticopulmonary anastomosis,مُفاغَرَةٌ أَبْهَرِيَّةٌ رِئَوِيَّة,Surgery
aorticopulmonary fenestration (=aortic septal defect),عَيبٌ أَبْهَرِيٌّ حاجِزِيّ,
aorticopulmonary fenestration (=aortic septal defect),تَنَوفُذٌ أَبْهَرِيٌّ رِئَوِيّ,
aorticopulmonary septal defect,عَيبُ الحَاجِزِ الرِّئَوِيِّ الأَبْهَرِيّ,
aorticopulmonary septum,الحَاجِزُ الأَبْهَرِيُّ الرِّئَوِيّ,
aorticopulmonary window,نافِذَة أَبْهَرِيَّة رِئَوِيَّة,
aorticopulmonic,أَبْهَرِيٌّ رِئَوِيّ,Anatomy
aorticorenal,أَبْهَرِيٌّ كُلْوِيّ,Anatomy
aorticorenal disease,داءٌ أَبْهَرِيٌّ كُلْوِيّ,Diagnostics(symptoms&signs)
aorticorenal ganglion,العُقْدَةُ الأَبْهَرِيَّةُ الكُلْوِيَّة,Anatomy
aortitis,الْتِهابُ الأَبْهَر,Cardiology and cadiovascular surgery
aortitis syphilitica,الْتِهابُ الأَبْهَرِ الزُّهْرِيّ,Cardiology and cadiovascular surgery
aortoarteritis,الْتِهابُ الأَبْهَرِ والشَّرايين,Cardiology and cadiovascular surgery
aortocaval,أَبْهَرِيٌّ أَجْوَفِيّ,Cardiology and cadiovascular surgery
aortocaval fistula,ناسورٌ أَبْهَرِيٌّ أَجْوَفِيّ,
aortocoronary,أَبْهَرِيٌّ تاجِيّ,Cardiology and cadiovascular surgery
aortocoronary bypass,مَجازَةٌ أَبْهَرِيَّةٌ تاجِيَّة,
aortoenteric fistula,ناسورٌ أَبْهَرِيٌّ مِعَوِيّ,
aortofemoral bypass graft,طُعْمٌ مجازِيٌّ أَبْهَرِيٌّ فَخِذِيّ,Transplantation
aortogram,صورَةُ الأَبْهَر,Cardiology and cadiovascular surgery
aortography,تَصْويرُ الأَبْهَر,Cardiology and cadiovascular surgery
aortoiliac bypass,مَجازَةٌ أَبْهَرِيَّةٌ حَرْقَفِيَّة,
aortoiliac steal syndrome,مُتَلاَزِمَة السَّرِقَةِ الأَبْهَرِيَّةِ الحَرْقَفِيَّة,Diagnostics(symptoms&signs)
aortopathy,اعْتِلالُ الأَبْهَر,Cardiology and cadiovascular surgery
aortoptosis,تَدَلِّي الأَبْهَر,Cardiology and cadiovascular surgery
aortopulmonary,أَبْهَرِيٌّ رِئَوِيّ,Cardiology and cadiovascular surgery
aortorenal bypass,مَجازَةٌ أَبْهَرِيَّةٌ كُلْوِيَّة,
aortorenal bypass graft,طُعْمٌ مَجازِيٌّ أَبْهَرِيٌّ كُلْوِيّ,Transplantation
aortorrhaphy,رَأْبُ الأَبْهَر,Cardiology and cadiovascular surgery
aortosclerosis,تَصَلُّبُ الأَبْهَر,Cardiology and cadiovascular surgery
aortotomy,بَضْعُ الأَبْهَر,Cardiology and cadiovascular surgery
aosmic (=anosmic),خُشامِيّ,Otorhinolaryngology
aosmic (=anosmic),متعلق بفَقْدِ الشَّم,Otorhinolaryngology
amyloid precursor protein (APP),بروتينٌ طَليعيٌ نَشَوانيٌّ,
amalgam core,لُبُّ المُلْغَم,Dentistry
amantadine hydrochloride,هِيدروكلُوريد الأَمانتادين,virology
amatoxin,أماتوكسين,"Taxonomy, nosology and classification"
amaurotic familial idiocy,البلاهة العائلية الكمنية,Neurology
ambazone,أمبازون,"Taxonomy, nosology and classification"
amber succinum,كَهْرُمَان,Botany
ambient air standard,مِعْيارُ الهَواءِ المُحِيط,Environmental health
ambient noise,ضَجِيجُ المُحِيط,Environmental health
ambient pressure,الضَّغْطُ المُحِيط,Environmental health
ambient pressure,ضغط المحيط,
ambient pressure,الضغط في المحيط,
ambient pressure,الضغط في البيئة المحيطة,Physiatrics and physical medicine
ambient temperature,درجة الحرارة في المحيط,
ambient temperature,درجة حرارة المحيط,Physiatrics and physical medicine
ambiguous genitalia,أَعْضَاءُ تَنَاسُليَّةٌ مُلْتَبِسَة,"Genitourinary medicine ,venereology and STDs"
amblyopic,أغمش، غمشاء,"Taxonomy, nosology and classification"
amboceptor,رابط,Physiology
ambrisentan,أَمْبريسِنْتان,Cardiology and cadiovascular surgery
ambrisentan,أمبريسينتان,"Taxonomy, nosology and classification"
ambroxol,أمبروكسول,"Taxonomy, nosology and classification"
ambulance services,خدمات إسعافية,Cardiology and cadiovascular surgery
ambulates in parallel bars only,تجوال يقتصر على مساعدة في الجانبين,Rehabilitation
ambulation,تنقُّل,"Nursing, midwifery and tocology"
ambulation: wheelchair,تَنقُّل: كُرْسِيٌّ مُتَحَرِّك,common entries
ambulator,إطار الحركة,Rehabilitation
ambulatory blood pressure monitoring,مراقبة ضغط الدم أثناء التجول,
ambulatory blood pressure monitoring (ABPM),مُراقبةٌ مُتَنَقِّلَةٌ لضَغْطِ الدَّم,Cardiology and cadiovascular surgery
ambulatory electrocardiogram,تخطيط متنقل لكهربية القلب,Cardiology and cadiovascular surgery
ambulatory Holter monitor,شاشة مُراقَبة متنقلة لهُولتر,Cardiology and cadiovascular surgery
ambulatory monitor,شاشة مُراقَبة متنقلة,Cardiology and cadiovascular surgery
ambuphylline,أمبيوفيلين,"Taxonomy, nosology and classification"
amcinonide,أمسينونيد,"Taxonomy, nosology and classification"
amdinocillin pivoxil,بيفُوكزيل الأَمْدينُوسيلِّين,"Genitourinary medicine ,venereology and STDs"
amdinocilline,أمدينوسيلين,"Taxonomy, nosology and classification"
ameba,أَمِيبَة,parasitology
amebic carrier state,حَالَةُ النَّاقِل للأَميبات,
amebic liver abscess,خُراجُ الكَبِدِ الأَمِيبيُّ,
amenamevir,أميناميفير,"Taxonomy, nosology and classification"
american society of echocardiography,الجمعية الأمريكية لتصوير القلب بالإيكو,Cardiology and cadiovascular surgery
americium,أمريسيوم,
americium,الأَمِيريسيُوم,Biochemistry and Chemistry
ametazole,أميتازول,"Taxonomy, nosology and classification"
amethocaine,أميثوكايين,"Taxonomy, nosology and classification"
amethopterin,أميثوبتيرين,"Taxonomy, nosology and classification"
ametria,غياب الرحم,"Taxonomy, nosology and classification"
amfebutamone,أمفيبيوتامون,"Taxonomy, nosology and classification"
amfepramone,أمفيبرامون,"Taxonomy, nosology and classification"
amfetaminil,أمفيتامينيل,"Taxonomy, nosology and classification"
amfomycin,أمفومايسين,"Taxonomy, nosology and classification"
amide local anesthetic,مُخدِّرٌ مَوْضِعيٌّ أَمِيدِيٌّ,
amidone,أميدون,"Taxonomy, nosology and classification"
amidotrizoate,أميدوتريزوات,"Taxonomy, nosology and classification"
amifampridine,أميفامبريدين,"Taxonomy, nosology and classification"
amiflamine,أميفلامين,"Taxonomy, nosology and classification"
amifostine,أميفوستين,"Taxonomy, nosology and classification"
amikacin sulfate,سُلْفاتُ الأَمِيكاسِين,
amikhelline,أميكيلين,"Taxonomy, nosology and classification"
amiloride,أميلورايد,"Taxonomy, nosology and classification"
amiloride hydrochloride,هِيدرُوكلوريد الأَميلُوريد,
amiloxate,أَميلُوكزات,dermatology
amine pump,مَضخَّةُ الأَمِينات,
amineptine,أمينيبتين,"Taxonomy, nosology and classification"
amino acid,حَمْضٌ أَمِينيٌّ,Biochemistry and Chemistry
amino acid group,مَجْمُوعةُ الحَمْضِ الأَمِيني,Biochemistry and Chemistry
amino acid profiles,مرتسمات الحموض الأمينية,Biochemistry and Chemistry
amino acid residue,ثُمالةُ الحمضِ الأَمِينيّ,Biochemistry and Chemistry
aminobenzoic acid,حَمْضُ أَمينُوبِنْزويك,Biochemistry and Chemistry
aminocaproic acid,حَمْضُ الأَمينُوكابرُويك,Biochemistry and Chemistry
aminoethylisothiourium,أمينوإيثيلإيزوثيوريوم,"Taxonomy, nosology and classification"
aminofenazone,أمينوفينازون,"Taxonomy, nosology and classification"
aminoglutethimide,أمينوغلوتيثيميد,"Taxonomy, nosology and classification"
aminoglycosides,مركبات أمينُوغليكُوزيد,"Taxonomy, nosology and classification"
aminolevulinic acid,حمض أمينوليفيولينيك,
aminolevulinic acid 1 (ALA),حَمْضُ الأَمِينُوليفولينيك1,Biochemistry and Chemistry
aminolevulinic acid 2,حَمْضُ الأَمِينُوليفولينيك2,Biochemistry and Chemistry
aminolevulinic acid hydrochloride,هِيدرُوكلُوريد حَمْضِ الأَمِينُوليفولينيك,Biochemistry and Chemistry
aminophenazone,أمينوفينازون,"Taxonomy, nosology and classification"
aminophenol,أمينوفينول,"Taxonomy, nosology and classification"
aminophenylpyridone,أمينوفينيلبايريدون,"Taxonomy, nosology and classification"
aminophylline poisoning,التَّسَمُّمُ بالأَمينُوفيلِّين,toxicology
aminoquinolines,مركبات أمينوكوينولين,"Taxonomy, nosology and classification"
aminorex,أمينوريكس,"Taxonomy, nosology and classification"
aminosalylum,أمينوساليلوم,"Taxonomy, nosology and classification"
amiodarone hydrochloride,هِيدروكلُوريد الأَمْيُودارون,Biochemistry and Chemistry
