en	ar	section	type	source
abdominal compartment	حجرة بطنيّة	SURGERY	term	WHO_UMD
abdominal cramping	مغص بطنيّ	SURGERY	term	WHO_UMD
abdominal distension	توسع البطن	GASTROENTEROLOGY	term	WHO_UMD
abdominal distention	توسُّع البطن	SURGERY	term	WHO_UMD
abdominal dressing	تضميد البطن	SURGERY	term	WHO_UMD
abdominal examination	فَحْصُ البَطْن	COMMON ENTRIES	term	WHO_UMD
abdominal exploration	استقصاء البطن	SURGERY	term	WHO_UMD
abdominal fascia	اللِّفافةُ البَطْنيَّة	ANATOMY	term	WHO_UMD
abdominal gestation	حَمْلٌ بَطْني	OBSTETRICS AND GYNECOLOGY	term	WHO_UMD
abdominal girth	مَقاسُ محيطِ البَطْن	ANATOMY	phrase	WHO_UMD
abdominal hernia	فَتْقٌ بَطْنِيٌّ	SURGERY	term	WHO_UMD
abdominal inguinal ring	الحلقةُ الأُرْبِيَّة البَطْنيَّة	ANATOMY	phrase	WHO_UMD
abdominal migraine	الشَّقِيقة البطنية	NEUROLOGY	term	WHO_UMD
abdominal muscles	عَضلاتُ البَطْن	ANATOMY	term	WHO_UMD
abdominal myomectomy	استئصال ورم رحمي بطريق البطن	ONCOLOGY	phrase	WHO_UMD
abdominal nerves	أَعْصابٌ بَطْنيَّة	ANATOMY	term	WHO_UMD
abdominal pain	ألمٌ بَطْني	DIAGNOSTICS(SYMPTOMS&SIGNS)	term	WHO_UMD
abdominal Pore	ثقب بطنى	BIOLOGY	term	WHO_UMD
abdominal pressure	الضَّغْطُ البَطْني	PHYSIOLOGY	term	WHO_UMD
abdominal prevertebral plexus	الضَّفيرَةُ البطنيَّة أَمامَ الفِقار	ANATOMY	phrase	WHO_UMD
abdominal prosthetic	تعويضات بدلية بطنية	REHABILITATION	phrase	WHO_UMD
abdominal quadrant	رُبْعٌ بَطْني	ANATOMY	term	WHO_UMD
abdominal reflex	مُنْعَكَسٌ بَطْنِيٌّ	PHYSIOLOGY	term	WHO_UMD
abdominal regions	نَواحي البَطْن	ANATOMY	term	WHO_UMD
abdominal salpingectomy	اِسْتِئْصَال البُوْقِ بطَرِيْقِ البَطْن	SURGERY	phrase	WHO_UMD
abdominal salpingotomy	بَضْعُ البُوْق بطَريق البَطْن	OBSTETRICS AND GYNECOLOGY	phrase	WHO_UMD
abdominal splinting	تَخشُّبٌ بَطْني	COMMON ENTRIES	term	WHO_UMD
abdominal sponge	إسفَنْجٌ بَطْني	SURGERY	term	WHO_UMD
abdominal trauma	رضح البطن	SURGERY	term	WHO_UMD
abdominal ultrasound test	فحصُ البَطْن بالموجات فوق الصَّوْت	RADIOLOGY AND DIAGNOSTIC TECHNOLOGY	phrase	WHO_UMD
abdominal viscera	أَحْشاءُ البَطْن	ANATOMY	term	WHO_UMD
abdominal wall	جِدارُ البَطْن	ANATOMY	term	WHO_UMD
abdominal wound	جرح في البطن	DERMATOLOGY	phrase	WHO_UMD
abdominal wound	جُرْحٌ بَطْني	SURGERY	term	WHO_UMD
abdomino-anterior foetus	جنين أمامي البطن	OBSTETRICS AND GYNECOLOGY	phrase	WHO_UMD
abdomino-centesis	بزل البطن	DIAGNOSTICS(SYMPTOMS&SIGNS)	term	WHO_UMD
abdominopelvic cavity	الجَوْفُ البَطْني الحَوْضي	ANATOMY	phrase	WHO_UMD
abdominoposterior foetus	خلفي البطن	OBSTETRICS AND GYNECOLOGY	term	WHO_UMD
abdominous	بَطين	ANTHROPOLOGY AND ANTHROPOMETRICS	term	WHO_UMD
abducens muscle	مُبَعِّدَةُ العَين	SURGERY	term	WHO_UMD
abducens nerve	العَصَبُ المُبَعِّد	ANATOMY	term	WHO_UMD
abducent	مُبَعِّد	SURGERY	term	WHO_UMD
abducted gait	مشية تباعدية	REHABILITATION	term	WHO_UMD
abduction	تَبْعيد	ANATOMY	term	WHO_UMD
abduction angle	زاوية التبعيد	REHABILITATION	term	WHO_UMD
abduction boots	أَحْذيةُ التَّبْعيد	ORTHOPEDICS	term	WHO_UMD
abduction capacity	سَعَة التبعيد	REHABILITATION	term	WHO_UMD
abduction of orthosis	تبعيد المقوام	REHABILITATION	phrase	WHO_UMD
abduction splint	جبيرة الأبعاد	ORTHOPEDICS	term	WHO_UMD
abductor	المُبَعِّدَة	ANATOMY	term	WHO_UMD
abductor digiti minimi of the foot	العَضَلَةُ المُبَعِّدَةُ لخِنْصَرِ القَدَم	ANATOMY	sentence	WHO_UMD
abductor digiti minimi of the hand	العَضَلَةُ المُبَعِّدَةُ لخِنْصَرِ اليَد	ANATOMY	sentence	WHO_UMD
abductor hallucis	العَضَلَةُ المُبَعِّدَةُ لإِبْهامِ القَدَم	ANATOMY	phrase	WHO_UMD
abductor part	جزء مُبَعِّد	REHABILITATION	term	WHO_UMD
abemaciclib	أبيماسيكليب	TAXONOMY, NOSOLOGY AND CLASSIFICATION	term	WHO_UMD
abembryonic	مُبْتَعِدٌ عن المُضْغَة	EMBRYOLOGY & TERATOLOGY	phrase	WHO_UMD
aberrant artery	الشريان الزائغ	ANATOMY	term	WHO_UMD
aberrant ventricular conduction (AVC)	تَوْصيلٌ بُطَيْني زائِغ	PHYSIATRICS AND PHYSICAL MEDICINE	phrase	WHO_UMD
aberration	زَيْغ	COMMON ENTRIES	term	WHO_UMD
abetalipoproteinaemia	فقد بيتا ليبوبروتين الدَّم	TAXONOMY, NOSOLOGY AND CLASSIFICATION	phrase	WHO_UMD
abetimus	أبيتيميوس	TAXONOMY, NOSOLOGY AND CLASSIFICATION	term	WHO_UMD
abfraction	تجزُّؤ	TAXONOMY, NOSOLOGY AND CLASSIFICATION	term	WHO_UMD
abience	تَعَذّر الاستجابة	BIOLOGY	term	WHO_UMD
abient	متَعَذّر الاستجابة	BIOLOGY	term	WHO_UMD
ability	القدرة	BIOLOGY	term	WHO_UMD
ability scale	مقياس القدرات	MEASURES	term	WHO_UMD
ability to walk	القدرة على المشي	REHABILITATION	phrase	WHO_UMD
abiosis	تضاؤل الحيوية	VETERINARY MEDICINE	term	WHO_UMD
abiraterone	أبيراتيرون	TAXONOMY, NOSOLOGY AND CLASSIFICATION	term	WHO_UMD
ablatio mammae	استئصال الثدي	REHABILITATION	term	WHO_UMD
ablation	استئصال	SURGERY	term	WHO_UMD
ablative radiotherapy	المُعالَجَةُ الإِشْعاعِيَّة الاستئصالية	SURGERY	phrase	WHO_UMD
ableism community	مجتمع القدرات	SEXOLOGY	term	WHO_UMD
ablepharia	غياب الجفن	BIOLOGY	term	WHO_UMD
abneural	مُبْتَعِدٌ عن العَصَب	ANATOMY	phrase	WHO_UMD
abnormal behavior	سُلوكٌ غيرُ سَويّ	PSYCHIATRY AND PSYCHOLOGY	phrase	WHO_UMD
abnormal physical exam	فحص جسدي غير طبيعي	BIOSTATISTICS	phrase	WHO_UMD
abnormal pregnancy	الحمل اللاسوي	OBSTETRICS AND GYNECOLOGY	term	WHO_UMD
abnormal Pregnancy	حمل غير طبيعي	BIOLOGY	phrase	WHO_UMD
abnormal psychology	عِلْمُ نَفْسِ السلوكِ المنحرف	PSYCHIATRY AND PSYCHOLOGY	phrase	WHO_UMD
abnormal respiratory findings	نتائج تنفسية غير طبيعية	INFECTIOUS DISEASES	phrase	WHO_UMD
abnormal sign	علامة غير طبيعية	BIOSTATISTICS	phrase	WHO_UMD
abnormal tooth mobility	حَرَكةِ غير سويةٍ للسِّنِّ	DENTISTRY	phrase	WHO_UMD
abnormalities	شذوذات	SURGERY	term	WHO_UMD
abnormalities in sperm shape	شذوذات في حجم النطفة	OBSTETRICS AND GYNECOLOGY	phrase	WHO_UMD
abnormalities in sperm size	شذوذات في حجم النطفة	OBSTETRICS AND GYNECOLOGY	phrase	WHO_UMD
abnormalty	شذوذ	BIOLOGY	term	WHO_UMD
abocclusion	شذوذ الإطباق	DENTISTRY	term	WHO_UMD
aboiement	مُوَاء	DIAGNOSTICS(SYMPTOMS&SIGNS)	term	WHO_UMD
aborted infection	عدوى مُجْهَضَة	SURGERY	term	WHO_UMD
aborted systole	انْقِباضَةٌ مُجْهَضَة	CARDIOLOGY AND CADIOVASCULAR SURGERY	term	WHO_UMD
abortifacient drugs	عقاقير مجهضة	BIOLOGY	term	WHO_UMD
abortifacient drugs	العقاقير المجهضة	NURSING, MIDWIFERY AND TOCOLOGY	term	WHO_UMD
abortion	إِجْهاض	OBSTETRICS AND GYNECOLOGY	term	WHO_UMD
abortion inevitable	إجهاض حتمي	NURSING, MIDWIFERY AND TOCOLOGY	term	WHO_UMD
abortion on demand	إِجْهاض عندَ الطَّلب	OBSTETRICS AND GYNECOLOGY	phrase	WHO_UMD
abortion ratio	نسبة الإجهاض	BIOSTATISTICS	term	WHO_UMD
abortionist	مُجْهِض	OBSTETRICS AND GYNECOLOGY	term	WHO_UMD
abortus	الجهيض	NURSING, MIDWIFERY AND TOCOLOGY	term	WHO_UMD
above elbow	فوق المرفق	REHABILITATION	term	WHO_UMD
above elbow amputation	بَتْر فوق المرفق	REHABILITATION	phrase	WHO_UMD
above elbow prosthesis	بدلة فوق المرفق	REHABILITATION	phrase	WHO_UMD
above knee amputation	بَتْر فوق الركبة	REHABILITATION	phrase	WHO_UMD
above knee prosthesis	بدلة فوق الركبة	REHABILITATION	phrase	WHO_UMD
above-elbow (AE) amputation	بَتْرٌ أعلى المِرْفَق	SURGERY	phrase	WHO_UMD
abrade	يسحج	DENTISTRY	term	WHO_UMD
abranchiate	لا خيشومى	BIOLOGY	term	WHO_UMD
abrasio dentium	سحج السن	DENTISTRY	term	WHO_UMD
abrasion arthroplasty	رَأْبُ المَفْصِل السَّحْجي	ORTHOPEDICS	phrase	WHO_UMD
abrasion layer	طَبقةٌ سحجيَّة	RADIOLOGY AND DIAGNOSTIC TECHNOLOGY	term	WHO_UMD
abrasiveness	السحجية	DENTISTRY	term	WHO_UMD
abrin	ايرين	BIOLOGY	term	WHO_UMD
abrus precatorius	عيون الديكه	BIOLOGY	term	WHO_UMD
abscess of vitreous	خراج الجسم الزجاجي	BIOLOGY	phrase	WHO_UMD
abscissa	إِحْداثِيٌّ أفُقِيٌّ	BIOSTATISTICS	term	WHO_UMD
absence	الغياب	NEUROLOGY	term	WHO_UMD
absent without leave (AWOL)	غائبٌ من دون مُوافَقة	NURSING, MIDWIFERY AND TOCOLOGY	phrase	WHO_UMD
absente febre	حُمّى خافية	GENERAL	term	WHO_UMD
absolute (A) temperature	دَرَجَةُ الحَرارَةِ المُطْلَقَة	PHYSIATRICS AND PHYSICAL MEDICINE	phrase	WHO_UMD
absolute discharge	تَخْريجٌ مُطْلَق	HEALTH SERVICES	term	WHO_UMD
absolute effect	الأثر المطلق	BIOSTATISTICS	term	WHO_UMD
absolute hyperphagia	فرط الأكل المطلق	BIOLOGY	phrase	WHO_UMD
absolute neutrophil count (ANC)	تعدادُ العَدِلاَت المُطْلَق	HEMATOLOGY	phrase	WHO_UMD
absolute poverty level	مستوى الفقر المطلق	BIOSTATISTICS	phrase	WHO_UMD
absolute rate	المعدل المطلق	BIOSTATISTICS	term	WHO_UMD
absolute risk increase (ARI)	زيادة الخطر المطلق	BIOSTATISTICS	phrase	WHO_UMD
absolute risk reduction (ARR)	انخفاض الخطر المطلق	BIOSTATISTICS	phrase	WHO_UMD
absolute temperature	دَرَجَة الحرَارَة المُطْلَقَة	PHYSIATRICS AND PHYSICAL MEDICINE	phrase	WHO_UMD
absorbable cotton	قُطْنٌ قابلٌ للامتِصاص	NURSING, MIDWIFERY AND TOCOLOGY	phrase	WHO_UMD
absorbable gelatin film	طبقةٌ جلاتينيةٌ سهلةُ الاِمْتِصاص	COMMON ENTRIES	phrase	WHO_UMD
absorbent dressing	ضَمادٌ ماصٌّ	NURSING, MIDWIFERY AND TOCOLOGY	term	WHO_UMD
absorption rate constant	ثابتةُ مُعَدَّل الامْتِصاص	PHYSIOLOGY	phrase	WHO_UMD
abstince	الامتناع	BIOLOGY	term	WHO_UMD
abuse cessation	توقُّفُ سوءُ المُعامَلَة	PSYCHIATRY AND PSYCHOLOGY	phrase	WHO_UMD
abuse protection	الوقايةُ من سوء المعاملة	PSYCHIATRY AND PSYCHOLOGY	phrase	WHO_UMD
abuse protection support	دَعْمُ الحمايةِ من سوء المعاملة	PSYCHIATRY AND PSYCHOLOGY	phrase	WHO_UMD
abuse protection support: child	دَعْمُ الحمايةِ من سوء المعاملة: الأطفال	PSYCHIATRY AND PSYCHOLOGY	sentence	WHO_UMD
abuse protection support: domestic partner	دَعْمُ الحمايةِ من سوء المعاملة: شَريكُ المَنْزِل	PSYCHIATRY AND PSYCHOLOGY	sentence	WHO_UMD
abuse protection support: elder	دَعْمُ الحمايةِ من سوء المعاملة: المسنُّ	PSYCHIATRY AND PSYCHOLOGY	sentence	WHO_UMD
abuse protection support: religious	الدَعْمُ الدِّيني للحمايةِ من سوء المعاملة	PSYCHIATRY AND PSYCHOLOGY	sentence	WHO_UMD
abuse recovery	التَّعافي من سوء المعاملة	PSYCHIATRY AND PSYCHOLOGY	phrase	WHO_UMD
abuse recovery: emotional	التَّعافي من سوء المعاملة: النَّفسي	PSYCHIATRY AND PSYCHOLOGY	phrase	WHO_UMD
abuse recovery: financial	التَّعافي من سوء المعاملة: المالي	PSYCHIATRY AND PSYCHOLOGY	phrase	WHO_UMD
abuse recovery: physical	التَّعافي من سوء المعاملة: الجَسَدي	PSYCHIATRY AND PSYCHOLOGY	phrase	WHO_UMD
abuse recovery: sexual	التَّعافي من سوء المعاملة: الجِنْسي	PSYCHIATRY AND PSYCHOLOGY	phrase	WHO_UMD
abused person	شَخْصٌ تساءُ مُعامَلَته	PSYCHIATRY AND PSYCHOLOGY	phrase	WHO_UMD
abusive behavior self-restraint	مُقاوِمٌ ذاتياً لسُلوك سوء المعاملة؛ مُحصَّن ضدَّ لسُلوك سوء المعاملة	PSYCHIATRY AND PSYCHOLOGY	sentence	WHO_UMD
abyssal	اعماقى	BIOLOGY	term	WHO_UMD
against medical advice	ضدَّ المَشورَة الطبِّية	GENERAL	phrase	WHO_UMD
agalsidase beta	أَغَالزيداز بيتا	GENERAL	term	WHO_UMD
agar agar	أجار أجار	BACTERIOLOGY	term	WHO_UMD
agar-agar	آغَارٌ آغار	BACTERIOLOGY	term	WHO_UMD
agarose	أغَارُوز	GENERAL	term	WHO_UMD
age - sex pyramid	هرم العمر والجنس	BIOSTATISTICS	phrase	WHO_UMD
age 30 transition	الاِنْتِقالُ لسنِّ الثَّلاثِين	COMMON ENTRIES	phrase	WHO_UMD
age dependency ratio	نسبة الإعالة العمرية	BIOSTATISTICS	phrase	WHO_UMD
age hardening	تصليد بالتعتيق	BIOLOGY	term	WHO_UMD
age of consent	سِنُّ التَّكْليف	COMMON ENTRIES	phrase	WHO_UMD
age of discrimination	سن التمييز	GENETICS AND GENETIC ENGINEERING	phrase	WHO_UMD
age of majority	سِنُّ البُلوغ	COMMON ENTRIES	phrase	WHO_UMD
age standardization	تقييس العمر	BIOSTATISTICS	term	WHO_UMD
age validation	التحقُّق من العُمر	FORENSIC MEDICINE	phrase	WHO_UMD
age-associated mental impairment	الاِضْطِرابُ العَقْليُّ المُتَرافِقُ مع العُمُر	PSYCHIATRY AND PSYCHOLOGY	phrase	WHO_UMD
aged	مسنٌّ	COMMON ENTRIES	term	WHO_UMD
ageing	تقدم العمر	TAXONOMY, NOSOLOGY AND CLASSIFICATION	term	WHO_UMD
ageing-related	مرتبط بالتشيُّخ	TAXONOMY, NOSOLOGY AND CLASSIFICATION	term	WHO_UMD
ageism	التَّمْيِيزُ تجاه المُسِنِّين	GENERAL	phrase	WHO_UMD
agenesia pilaris	الملَط	DIAGNOSTICS(SYMPTOMS&SIGNS)	term	WHO_UMD
ageniocephaly	فقدُ الأُذُنين	GENETICS AND GENETIC ENGINEERING	term	WHO_UMD
agent (of disease)	عامل (المرض)	BIOSTATISTICS	phrase	WHO_UMD
age-period cohort analysis	تحليل الأتراب وفقا للفترة والعمر	BIOSTATISTICS	phrase	WHO_UMD
age-related cognitive decline	تدهور المعارف مرتبط بالعمر	COMMON ENTRIES	phrase	WHO_UMD
age-related macular degeneration	تنكُّس البقعة المرتبط بالعمر	OPHTHALMOLOGY AND OPTICS	phrase	WHO_UMD
age-sex register	سجلّ العمر والجنس	BIOSTATISTICS	phrase	WHO_UMD
age-sex registery	سِجِلّ عُمْرِيّ جِنْسِي	BIOSTATISTICS	phrase	WHO_UMD
age-specific	خاصٌّ بعُمُرٍ مُحَدَّد	COMMON ENTRIES	phrase	WHO_UMD
age-specific rate	معدّل خاص بعمر معين	BIOSTATISTICS	phrase	WHO_UMD
age-specific rate	المُعَدَّل النَوْعِي لِلعُمُر	BIOSTATISTICS	phrase	WHO_UMD
agglutinates	رَصائِص	HEMATOLOGY	term	WHO_UMD
agglutination reaction	تَفاعُلُ التَّرَاص	GENERAL	term	WHO_UMD
agglutination-inhibition test	اخْتِبارُ تَثْبيطِ التَّراصِّ	LABORATORY MEDICINE	phrase	WHO_UMD
agglutinines	مركبات راصَّة	COMMON ENTRIES	term	WHO_UMD
agglutinoid	شبه الملزن	LABORATORY MEDICINE	term	WHO_UMD
aggravation	تَفَاقُم	DIAGNOSTICS(SYMPTOMS&SIGNS)	term	WHO_UMD
aggregate surveillance	ترصد التكدس	BIOSTATISTICS	term	WHO_UMD
aggregated node	العقدة المتجمعة	DIAGNOSTICS(SYMPTOMS&SIGNS)	term	WHO_UMD
aggregated nodule	العقيدة المتجمعة	DIAGNOSTICS(SYMPTOMS&SIGNS)	term	WHO_UMD
aggregation bias	تحيّز التّكدّس	BIOSTATISTICS	term	WHO_UMD
aggregative fallacy	مغالطة التكدس	BIOSTATISTICS	term	WHO_UMD
aggression self-control	ضَبْطُ النَّفْس عن العُدْوان	BEHAVIORAL MEDICINE	phrase	WHO_UMD
aggressive infantile fibromatosis	أوْرامٌ لِيفِيّةٌ طِفْلِيّة عُدْوانِيَّة	ONCOLOGY	phrase	WHO_UMD
aggressive-radical therapy	مُعالجَةٌ جَذْرِيَّة عُدْوانِيَّة	GENERAL	phrase	WHO_UMD
aggressor	المعتدي	BEHAVIORAL MEDICINE	term	WHO_UMD
agility exercises	تمارين الرشاقة	PHYSIATRICS AND PHYSICAL MEDICINE	term	WHO_UMD
aging of the population	تشيّخ الجمهرة	BIOSTATISTICS	phrase	WHO_UMD
agitated	هَائِج	COMMON ENTRIES	term	WHO_UMD
aglossia	فَقْدُ اللِّسَان	GENETICS AND GENETIC ENGINEERING	term	WHO_UMD
aglycemia	نَقْصُ سُكَّرِ الدَّم	ENDOCRINOLOGY & METABOLISM	phrase	WHO_UMD
aglycemia	فقدانُ سُكَّر الدَّم	ENDOCRINOLOGY & METABOLISM	phrase	WHO_UMD
agnathia	فَقْدُ الفَكِّ	GENERAL	term	WHO_UMD
agnathocephalus	فاقِدُ الرَّأْسِ والفَكِّ	GENERAL	phrase	WHO_UMD
agnathocephaly	فَقْدُ الرَّأْسِ والفَكِّ	GENERAL	phrase	WHO_UMD
agnathus	فاقِدُ الفَكِّ	GENERAL	term	WHO_UMD
agnosia	عَمَه	GENERAL	term	WHO_UMD
agnosticism	عَمَهيّ	COMMON ENTRIES	term	WHO_UMD
agnosticism	عَمَه	COMMON ENTRIES	term	WHO_UMD
agomelatine	أغوميلاتين	TAXONOMY, NOSOLOGY AND CLASSIFICATION	term	WHO_UMD
agomphosis	انعدام الأَسْنان	TAXONOMY, NOSOLOGY AND CLASSIFICATION	term	WHO_UMD
agonal	اِحْتِضاريٌّ	GENERAL	term	WHO_UMD
agonal thrombus	خَثْرَةٌ اِحْتِضارِيَّة	GENERAL	term	WHO_UMD
agony	كَرْب	COMMON ENTRIES	term	WHO_UMD
agranular cortex of cerebrum	قشرة غير حبيبية في الدماغ	ANATOMY	phrase	WHO_UMD
agranulocytic angina	خُنَاقُ نُدْرَة المُحَبَّبات	TROPICAL MEDICINE	phrase	WHO_UMD
agraphia	تَعَذُّرُ الكِتَابَة	NEUROLOGY	term	WHO_UMD
agrichemical	مادة زراعية كيميائية	TAXONOMY, NOSOLOGY AND CLASSIFICATION	phrase	WHO_UMD
agrimony	غَافِث؛ عَرْنَج	TRADITIONAL MEDICINE, FOLK MEDICINE	term	WHO_UMD
agrochemical	مادة زراعية كيميائية	TAXONOMY, NOSOLOGY AND CLASSIFICATION	phrase	WHO_UMD
agrology	علم التربة	COMMON ENTRIES	term	WHO_UMD
agrypnal	أغريبنال	TAXONOMY, NOSOLOGY AND CLASSIFICATION	term	WHO_UMD
agyria	فَقْدُ التَّلافِيف	GENERAL	term	WHO_UMD
afamelanotide	أفاميلانوتيد	TAXONOMY, NOSOLOGY AND CLASSIFICATION	term	WHO_UMD
afatinib	أفاتينيب	TAXONOMY, NOSOLOGY AND CLASSIFICATION	term	WHO_UMD
afebrile	بلَا حُمَّى	COMMON ENTRIES	term	WHO_UMD
afelimomab	أفيليموماب	TAXONOMY, NOSOLOGY AND CLASSIFICATION	term	WHO_UMD
affected by	مصاب ب	COMMON ENTRIES	term	WHO_UMD
affected city	مدينة متأثرة	INFECTIOUS DISEASES	term	WHO_UMD
affective intimacy	عاطفة حَمِيمَة	COMMON ENTRIES	term	WHO_UMD
affective learning	تعلُّمُ العواطِف	PSYCHIATRY AND PSYCHOLOGY	term	WHO_UMD
affective psychosis	ذُهانٌ عاطِفِيٌّ	PSYCHIATRY AND PSYCHOLOGY	term	WHO_UMD
afferent pupillary response	استجابة الحدقة الواردة	OPHTHALMOLOGY AND OPTICS	phrase	WHO_UMD
affidavit	إفادَة موثَّقَة	COMMON ENTRIES	term	WHO_UMD
affirm gender identity	تأكيد الهوية الجندرية	SEXOLOGY	phrase	WHO_UMD
affirmative defense	دِفَاعٌ تَأْكِيديّ	COMMON ENTRIES	term	WHO_UMD
affirmed gender	جندر مُؤَكَّد	SEXOLOGY	term	WHO_UMD
afibrile	لاحُمَّويّ	INFECTIOUS DISEASES	term	WHO_UMD
aflatoxins	أَفْلاتُوكسين	MICROBIOLOGY	term	WHO_UMD
aflibercept	أفليبيرسيبت	TAXONOMY, NOSOLOGY AND CLASSIFICATION	term	WHO_UMD
afloqualone	أفلوكوالون	TAXONOMY, NOSOLOGY AND CLASSIFICATION	term	WHO_UMD
african snipe	البكاسين	BIOLOGY	term	WHO_UMD
after care	الموالاة	HOSPITAL ADMINISTRATION	term	WHO_UMD
after cataract	السد اللاحق	OPHTHALMOLOGY AND OPTICS	term	WHO_UMD
after-birth	الخلاص	OBSTETRICS AND GYNECOLOGY	term	WHO_UMD
afterbirth Haemoglobinuria	بيلة هيموغلوبينية بعد الولادة	VETERINARY MEDICINE	phrase	WHO_UMD
after-cataract	توابع السادّ	COMMON ENTRIES	term	WHO_UMD
after-coming head	الرأس اللاحق	OBSTETRICS AND GYNECOLOGY	term	WHO_UMD
afterdepolarization	إِزالَةُ الاسْتِقْطاب التِّلْوِيُّة	GENERAL	phrase	WHO_UMD
afterlife	الآخرة	COMMON ENTRIES	term	WHO_UMD
afterpain	ألَمٌ تِلْوِيّ	GENERAL	term	WHO_UMD
afterpotential wave	مَوْجَةُ جُهْدٍ تِلْوِي	GENERAL	phrase	WHO_UMD
affected populations	السكان المتضررين	PUBLIC HEALTH, COMMUNITY MEDICINE AND HYGIENE	term	WHO_UMD
afebrile	بلا حُمَّى	GENERAL	term	WHO_UMD
afebrile	غَيْرُ مَصْحُوْبٍ بحُمَّى	GENERAL	phrase	WHO_UMD
afebrile abortion	إِجْهاضٌ لاحُمَّوِيّ	OBSTETRICS AND GYNECOLOGY	term	WHO_UMD
afebrile delirium	هَذَيانٌ عَدِيْمُ الحُمَّى	PSYCHIATRY AND PSYCHOLOGY	phrase	WHO_UMD
afetal	لاجَنِيْنيّ	GENERAL	term	WHO_UMD
affect	عاطِفَة	PSYCHIATRY AND PSYCHOLOGY	term	WHO_UMD
affect	وِجْدان	PSYCHIATRY AND PSYCHOLOGY	term	WHO_UMD
affect	يُصِيب	DIAGNOSTICS(SYMPTOMS&SIGNS)	term	WHO_UMD
affect block	إِحْصارٌ عاطِفِيّ	GENERAL	term	WHO_UMD
affect hunger	تَعَطُّشٌ للعَطْف	GENERAL	term	WHO_UMD
affect memory	ذاكِرَةٌ عاطِفِيَّة	GENERAL	term	WHO_UMD
affect regression	تَقَهْقُرٌ عاطِفِيّ	GENERAL	term	WHO_UMD
affect spasm	تَشَنُّجٌ عاطِفِيّ	GENERAL	term	WHO_UMD
affected	مُصَابٌ ـ	GENERAL	term	WHO_UMD
affection	عِلَّة	PSYCHIATRY AND PSYCHOLOGY	term	WHO_UMD
affection	عاطِفَة	PSYCHIATRY AND PSYCHOLOGY	term	WHO_UMD
affection	وِجْدَان	PSYCHIATRY AND PSYCHOLOGY	term	WHO_UMD
affective	عاطِفِيّ	PSYCHIATRY AND PSYCHOLOGY	term	WHO_UMD
affective	وِجْدانِيّ	PSYCHIATRY AND PSYCHOLOGY	term	WHO_UMD
affective amnesia (=elective amnesia)	فَقْدُ الذَّاكِرَةِالعَاطِفِيّ	PSYCHIATRY AND PSYCHOLOGY	phrase	WHO_UMD
affective amnesia (=elective amnesia)	فَقْدُ الذَّاكِرَة الانتخابي	PSYCHIATRY AND PSYCHOLOGY	phrase	WHO_UMD
affective contact	مُخالَطَةٌ عاطِفِيَّة	GENERAL	term	WHO_UMD
affective discharge	تَفْريغٌ عاطِفِيّ	GENERAL	term	WHO_UMD
affective disorders	اضْطِرَاباتُ الوِجْدَان	GENERAL	term	WHO_UMD
affective disorders	اضْطِراباتٌ عاطِفِيَّة	GENERAL	term	WHO_UMD
affective disturbance	اضْطِرابٌ عاطِفِيّ	GENERAL	term	WHO_UMD
affective epilepsy	صَرْعٌ عَاطِفِيّ	GENERAL	term	WHO_UMD
affective insanity (=affective psychosis)	ذُهانٌ عاطِفِيّ	GENERAL	phrase	WHO_UMD
affective insanity (=affective psychosis)	جُنونٌ عاطِفِيّ	GENERAL	phrase	WHO_UMD
affective melancholia	سَوداوِيَّةٌ عاطِفِيَّة	GENERAL	term	WHO_UMD
affective paraphrenia (=involutional melancholia)	السُّوداوِيَّة الأَوبِيَّة	GENERAL	phrase	WHO_UMD
affective paraphrenia (=involutional melancholia)	ازْوِرارٌ عاطِفِيّ	GENERAL	phrase	WHO_UMD
affective personality (=cyclothymia)	شَخْصِيَّة دَوْرَوِيَّة المِزاج	GENERAL	phrase	WHO_UMD
affective personality (=cyclothymia)	شَخْصِيَّة عاطفيَّة	GENERAL	phrase	WHO_UMD
affective psychosis (=mood disorder)	اضْطِرابُ المِزاج	GENERAL	phrase	WHO_UMD
affective psychosis (=mood disorder)	ذُهانٌ عاطِفِيّ	GENERAL	phrase	WHO_UMD
affective shock	صَدْمَة عاطِفِيَّة	GENERAL	term	WHO_UMD
affective shock	صَدْمَة وِجْدَانِيَّة	GENERAL	term	WHO_UMD
affectivity	عاطِفَة	PSYCHIATRY AND PSYCHOLOGY	term	WHO_UMD
affectivity	وِجْدَان	PSYCHIATRY AND PSYCHOLOGY	term	WHO_UMD
affectomotor	عَاطِفِيٌّ حَرَكِيّ	PSYCHIATRY AND PSYCHOLOGY	term	WHO_UMD
affenspalte (=sulcus lunatus)	التَّلَمُ الهِلالِيّ (في المخيخ)	NEUROLOGY	phrase	WHO_UMD
afferent	وارِد	ANATOMY	term	WHO_UMD
afferent artery	شِرْيانٌ وارِد	ANATOMY	term	WHO_UMD
afferent artery of glomerulus	شِرْيانُ الكُبَيبَةِ الوارِد	ANATOMY	phrase	WHO_UMD
afferent fibers	أَلْيافٌ وارِدَة	GENERAL	term	WHO_UMD
afferent loop syndrome	مُتَلازِمَة العُرْوَةِ الوارِدَة	DIAGNOSTICS(SYMPTOMS&SIGNS)	phrase	WHO_UMD
afferent nerve	عَصَبٌ وارِد	ANATOMY	term	WHO_UMD
